Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2025-11-17,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 66.23 lakh ha area coverage under Wheat has been reported as compared to 56.55 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 64.23 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 60.52 lakh ha during the corresponding period of last year.
-
Gram: About 37.43 lakh ha area coverage under Gram has been reported as compared to 34.04 lakh ha during the corresponding period of last year."," Wheat: About 66.23 lakh ha area coverage under Wheat has been reported as compared to 56.55 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 64.23 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 60.52 lakh ha during the corresponding period of last year.
-
Gram: About 37.43 lakh ha area coverage under Gram has been reported as compared to 34.04 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 17.11.2025.pdf,1,Minutes of the meeting of CWWG as on 17.11.2025_p1_c2,0.7,VERIFIED,rule_based
2025-11-24,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 128.37 lakh ha area coverage under Wheat has been reported as compared to 107.09 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 73.80 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 69.58 lakh ha during the corresponding period of last year.
-
Gram: About 53.71 lakh ha area coverage under Gram has been reported as compared to 49.30 lakh ha during the corresponding period of last year."," Wheat: About 128.37 lakh ha area coverage under Wheat has been reported as compared to 107.09 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 73.80 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 69.58 lakh ha during the corresponding period of last year.
-
Gram: About 53.71 lakh ha area coverage under Gram has been reported as compared to 49.30 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 24.11.2025.pdf,1,Minutes of the meeting of CWWG as on 24.11.2025_p1_c2,0.7,VERIFIED,rule_based
2025-12-01,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 187.37 lakh ha area coverage under Wheat has been reported as compared to 160.26 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 77.06 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 72.92 lakh ha during the corresponding period of last year.
-
Gram: About 62.49 lakh ha area coverage under Gram has been reported as compared to 60.13 lakh ha during the corresponding period of last year."," Wheat: About 187.37 lakh ha area coverage under Wheat has been reported as compared to 160.26 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 77.06 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 72.92 lakh ha during the corresponding period of last year.
-
Gram: About 62.49 lakh ha area coverage under Gram has been reported as compared to 60.13 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 01.12.2025.pdf,1,Minutes of the meeting of CWWG as on 01.12.2025_p1_c4,0.7,VERIFIED,rule_based
2025-12-08,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 241.40 lakh ha area coverage under Wheat has been reported as compared to 217.81 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 79.88 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 76.43 lakh ha during the corresponding period of last year.
-
Gram: About 77.84 lakh ha area coverage under Gram has been reported as compared to 75.16 lakh ha during the corresponding period of last year."," Wheat: About 241.40 lakh ha area coverage under Wheat has been reported as compared to 217.81 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 79.88 lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 76.43 lakh ha during the corresponding period of last year.
-
Gram: About 77.84 lakh ha area coverage under Gram has been reported as compared to 75.16 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 08.12.2025.pdf,1,Minutes of the meeting of CWWG as on 08.12.2025_p1_c3,0.7,VERIFIED,rule_based
2025-12-15,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 275.66 lakh ha (88% of normal) area coverage under Wheat has been reported as compared to 258.48 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 84.67 (107% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 81.16 lakh ha during the corresponding period of last year.
-
Gram: About 84.91 (84% of normal) lakh ha area coverage under Gram has been reported as compared to 81.67 lakh ha during the corresponding period of last year."," Wheat: About 275.66 lakh ha (88% of normal) area coverage under Wheat has been reported as compared to 258.48 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 84.67 (107% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 81.16 lakh ha during the corresponding period of last year.
-
Gram: About 84.91 (84% of normal) lakh ha area coverage under Gram has been reported as compared to 81.67 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 15.12.2025.pdf,1,Minutes of the meeting of CWWG as on 15.12.2025_p1_c3,0.7,VERIFIED,rule_based
2025-12-29,,Bengal Gram (Gram/Chickpea),Odisha,Area Coverage,,,,,,,,,," Wheat: About 322.68 lakh ha (103% of normal) area coverage under Wheat has been reported as compared to 322.49 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 87.80 (111% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year."," Wheat: About 322.68 lakh ha (103% of normal) area coverage under Wheat has been reported as compared to 322.49 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 87.80 (111% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 29.12.2025.pdf,1,Minutes of the meeting of CWWG as on 29.12.2025_p1_c2,0.7,VERIFIED,rule_based
2026-01-05,,Bengal Gram (Gram/Chickpea),Odisha,Area Coverage,,,,,,,,,," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year."," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 05.01.2026.pdf,1,Minutes of the meeting of CWWG as on 05.01.2026_p1_c2,0.7,VERIFIED,rule_based
2026-01-27,,Bengal Gram (Gram/Chickpea),Punjab,Area Coverage,,,,,,,,,," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year."," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 27.01.2026.pdf,1,Minutes of the meeting of CWWG as on 27.01.2026_p1_c3,0.7,VERIFIED,rule_based
2026-02-02,,Bengal Gram (Gram/Chickpea),Karnataka,Area Coverage,,,,,,,,,," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 96.20 (95.2% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year."," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 96.20 (95.2% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 02.02.2026.pdf,1,Minutes of the meeting of CWWG as on 02.02.2026_p1_c2,0.7,VERIFIED,rule_based
2026-02-09,,Bengal Gram (Gram/Chickpea),Maharashtra,Area Coverage,,,,,,,,,," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 96.20 (95.2% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year."," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 96.20 (95.2% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 09.02.2026.pdf,1,Minutes of the meeting of CWWG as on 09.02.2026_p1_c2,0.7,VERIFIED,rule_based
