Date,Observation,Evidence
2025-11-17,Area Coverage,Minutes of the meeting of CWWG as on 17.11.2025_p1_c2
2025-11-24,Area Coverage,Minutes of the meeting of CWWG as on 24.11.2025_p1_c2
2025-12-01,Area Coverage,Minutes of the meeting of CWWG as on 01.12.2025_p1_c4
2025-12-08,Area Coverage,Minutes of the meeting of CWWG as on 08.12.2025_p1_c3
2025-12-15,Area Coverage,Minutes of the meeting of CWWG as on 15.12.2025_p1_c3
2025-12-29,Area Coverage,Minutes of the meeting of CWWG as on 29.12.2025_p1_c2
2026-01-05,Area Coverage,Minutes of the meeting of CWWG as on 05.01.2026_p1_c2
2026-01-27,Area Coverage,Minutes of the meeting of CWWG as on 27.01.2026_p1_c3
2026-02-02,Area Coverage,Minutes of the meeting of CWWG as on 02.02.2026_p1_c2
2026-02-09,Area Coverage,Minutes of the meeting of CWWG as on 09.02.2026_p1_c2
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Gujarat observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c17
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Maharashtra Has 80% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Maharashtra has 80% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c18
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Karnataka Has 75% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Karnataka has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c19
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Madhya Pradesh Has 45% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Madhya Pradesh has 45% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c20
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Rajasthan Has 50% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Rajasthan has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c21
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Chhattisgarh Has 40% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Chhattisgarh has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c22
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Uttar Pradesh Has 50% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Uttar Pradesh has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c23
2026-03-30,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Andhra Pradesh Has 95% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Andhra Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c24
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Andhra Pradesh observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Andhra Pradesh.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c17
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Gujarat observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c18
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Maharashtra Has 95% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Maharashtra has 95% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c19
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Karnataka Has 85% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Karnataka has 85% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c20
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Madhya Pradesh Has 70% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Madhya Pradesh has 70% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c21
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Rajasthan Has 70% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Rajasthan has 70% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c22
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Chhattisgarh Has 85% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Chhattisgarh has 85% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c23
2026-04-06,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Uttar Pradesh Has 60% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Uttar Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c24
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Maharashtra observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c17
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Andhra Pradesh observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Andhra Pradesh.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c18
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Gujarat observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c19
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In West Bengal observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c20
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Chhattisgarh observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c21
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Telangana observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Telangana.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c22
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Karnataka Has 85% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Karnataka has 85% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c23
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Madhya Pradesh Has 70% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Madhya Pradesh has 70% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c24
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Rajasthan Has 70% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Rajasthan has 70% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c25
2026-04-13,Harvesting Stage | Bengal Gram (Gram/Chickpea) In Uttar Pradesh Has 60% Harvested observed | Harvest: Bengal Gram (Gram/Chickpea) in Uttar Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c26
2026-04-20,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Maharashtra observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c16
2026-04-20,Harvesting Stage | Bengal Gram (Gram/Chickpea) Is 100% Harvested In Andhra Pradesh observed | Harvest: Bengal Gram (Gram/Chickpea) is 100% harvested in Andhra Pradesh.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c17
