Date,Observation,Evidence
2025-07-21,Area Coverage,Minutes of the meeting of CWWG as on 21.07.2025_p1_c1
2025-07-21,"Sowing Stage | Sowing: |     | Progress of area coverage under Kharif crops as on 18.07.2025   | Progress of area coverage under Kharif crops as on 18.07.2025   | Progress of area coverage under Kharif crops as on 18.07.2025   | Progress of area coverage under Kharif crops as on 18.07.2025   | Progress of area coverage under Kharif crops as on 18.07.2025   |
|-----|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|
|     |                                                                 |                                                                 |                                                                 | Area: In lakh hectare                                           | Area: In lakh hectare                                           |
| S.  | Crop                                                            | Normal Area                                                     | Area Sown                                                       | Area Sown                                                       | Increase (+)/                                                   |
| No. |                                                                 | (DES)                                                           | 2025                                                            | 2024                                                            | Decrease (-) over 2024-25                                       |
| 1   | Rice                                                            | 403.09                                                          | 176.68                                                          | 157.21                                                          | 19.47                                                           |
| 2   | Pulses                                                          | 129.61                                                          | 81.98                                                           | 80.13                                                           | 1.84                                                            |
| A   | Arhar                                                           | 44.71                                                           | 30.09                                                           | 31.70                                                           |
1.61                                                           |
| B   | Urdbean                                                         | 32.64                                                           | 14.45                                                           | 16.51                                                           |
2.06                                                           |
| C   | Moongbean                                                       | 35.69                                                           | 27.31                                                           | 24.52                                                           | 2.79                                                            |
| D   | Kulthi                                                          | 1.72                                                            | 0.14                                                            | 0.12                                                            | 0.01                                                            |
| E   | Mothbean                                                        | 9.70                                                            | 7.56                                                            | 4.95                                                            | 2.61                                                            |
| F   | Other pulses                                                    | 5.15                                                            | 2.43                                                            | 2.33                                                            | 0.10                                                            |
| 3   | Shri Anna cum Coarse cereals                                    | 180.71                                                          | 133.65                                                          | 117.66                                                          | 15.99                                                           |
| A   | Jowar                                                           | 15.07                                                           | 9.99                                                            | 9.81                                                            | 0.18                                                            |
| B   | Bajra                                                           | 70.69                                                           | 48.94                                                           | 42.09                                                           | 6.85                                                            |
| C   | Ragi                                                            | 11.52                                                           | 1.42                                                            | 1.70                                                            |
0.28                                                           |
| D   | Small millets                                                   | 4.48                                                            | 2.09                                                            | 2.34                                                            |
0.25                                                           |
| E   | Maize                                                           | 78.95                                                           | 71.21                                                           | 61.73                                                           | 9.48                                                            |
| 4   | Oilseeds                                                        | 194.63                                                          | 156.76                                                          | 162.80                                                          |
6.04                                                           |
| A   | Groundnut                                                       | 45.10                                                           | 38.01                                                           | 37.16                                                           | 0.86                                                            |
| B   | Soybean                                                         | 127.19                                                          | 111.67                                                          | 118.96                                                          |
7.29                                                           |
| C   | Sunflower                                                       | 1.29                                                            | 0.54                                                            | 0.55                                                            |
0.02                                                           |
| D   | Sesamum                                                         | 10.32                                                           | 6.04                                                            | 5.58                                                            | 0.46                                                            |
| E   | Niger                                                           | 1.08                                                            | 0.02                                                            | 0.22                                                            |
0.20                                                           |
| F   | Castor                                                          | 9.65                                                            | 0.43                                                            | 0.28                                                            | 0.15                                                            |
| G   | Other Oilseeds                                                  | 0.00                                                            | 0.05                                                            | 0.05                                                            | 0.00                                                            |
| 5   | Sugarcane                                                       | 52.51                                                           | 55.16                                                           | 54.88                                                           | 0.29                                                            |
| 6   | Jute & Mesta                                                    | 6.60                                                            | 5.53                                                            | 5.65                                                            |
0.12                                                           |
| 7   | Cotton                                                          | 129.50                                                          | 98.55                                                           | 102.05                                                          |
3.49                                                           |
|     | Total                                                           | 1096.65                                                         | 708.31                                                          | 680.38                                                          | 27.93                                                           |",Minutes of the meeting of CWWG as on 21.07.2025_p1_c2
2025-07-28,"Sowing Stage | Sowing:  Rice : About 245.13 lakh ha (60.8% of Normal) area coverage under Kharif Rice as compared to 216.16 lakh ha during the corresponding period of last year.
-
Soybean : About 116.71 lakh ha (91.8 % of Normal) area coverage under Soyabean has been reported as compared to 121.38 lakh ha during the corresponding period of last year.
-
Sugarcane :  About  55.16  lakh  ha  area  coverage  under  Sugarcane  has  been  reported  as compared to 54.88 lakh ha during the corresponding period of last year.
Cotton : About 103.15 lakh ha (79.6% of Normal) area coverage has been reported compared to 105.52 lakh ha during the corresponding period of last year.
All India: Progressive Crop Area Sown Report
Kharif Weekly area coverage as on 2025-07-25
Source: CWWG (via API)
Area in Lakh Ha
|                      |   Normal (DA&FW) | Area Sown   | Area Sown   | Difference In Area Coverage Over   | % of Increase (+)/Decrease (-) Over   |
|----------------------|------------------|-------------|-------------|------------------------------------|---------------------------------------|
| Crop                 |                  | 2025-26     | 2024-25     | 2024-25                            | 2024-25                               |
| Rice                 |           403.09 | 245.13      | 216.16      | 28.97                              | 13.40                                 |
| Total Pulses         |           129.61 | 93.05       | 89.94       | 3.11                               | 3.45                                  |
| Tur                  |            44.71 | 34.90       | 37.99       |
3.10                              |
8.15                                 |
| Kulthi               |             1.72 | 0.15        | 0.13        | 0.02                               | 13.24                                 |
| Urad                 |            32.64 | 16.59       | 17.79       |
1.20                              |
6.75                                 |
| Moong                |            35.69 | 30.60       | 26.36       | 4.24                               | 16.08                                 |
| Other Pulses         |             5.15 | 2.67        | 2.60        | 0.07                               | 2.72                                  |
| Moth Bean            |             9.70 | 8.14        | 5.06        | 3.08                               | 60.83                                 |
| Total Coarse Cereals |           180.71 | 160.72      | 154.97      | 5.75                               | 3.71                                  |
| Jowar                |            15.07 | 12.45       | 12.34       | 0.11                               | 0.92                                  |
| Bajra                |            70.69 | 58.02       | 57.99       | 0.02                               | 0.04                                  |
| Ragi                 |            11.52 | 2.03        | 2.62        |
0.58                              |
22.32                                |
| Maize                |            78.95 | 85.58       | 78.92       | 6.66                               | 8.44                                  |
| Other Small Millets  |             4.48 | 2.64        | 3.10        |
0.46                              |
14.81                                |
| Total Oilseeds       |           194.63 | 166.89      | 170.73      |
3.83                              |
2.25                                 |
| Groundnut            |            45.10 | 41.17       | 40.77       | 0.40                               | 0.99                                  |
| Sesamum              |            10.32 | 7.44        | 7.14        | 0.31                               | 4.28                                  |
| Sunflower            |             1.29 | 0.56        | 0.59        |
0.03                              |
5.24                                 |
| Soybean              |           127.19 | 116.71      | 121.38      |
4.68                              |
3.85                                 |
| Nigerseed            |             1.08 | 0.03        | 0.22        |
0.19                              |
87.17                                |
| Castorseed           |             9.65 | 0.94        | 0.57        | 0.36                               | 63.20                                 |
| Other Oilseeds       |                  | 0.05        | 0.05        | 0.00                               |
7.86                                 |
| Sugarcane            |            52.51 | 55.16       | 54.88       | 0.29                               | 0.52                                  |
| Total Jute and Mesta |             6.60 | 5.54        | 5.71        |
0.18                              |
3.07                                 |
| Jute                 |             6.19 | 5.33        | 5.50        |
0.16                              |
2.99                                 |
| Mesta                |             0.40 | 0.20        | 0.22        |
0.01                              |
5.23                                 |
| Cotton               |           129.50 | 103.15      | 105.52      |
2.37                              |
2.25                                 |
| Grand Total          |          1096.65 | 829.64      | 797.91      | 31.73                              | 3.98                                  |",Minutes of the meeting of CWWG as on 28.07.2025_p1_c1
2025-08-04,Area Coverage,Minutes of the meeting of CWWG as on 04.08.2025_p1_c2
2025-08-04,"Sowing Stage | Sowing: All India: Progressive Crop Area Sown Report
Kharif Weekly area coverage as on 01.08.2025
Source: CWWG (via API)
Area in Lakh Ha
|                      |   Normal (DA&FW) | Area Sown   | Area Sown   | Difference In Area Coverage Over   |
|----------------------|------------------|-------------|-------------|------------------------------------|
| Crop                 |                  | 2025-26     | 2024-25     | 2024-25                            |
| Rice                 |           403.09 | 319.40      | 273.72      | 45.68                              |
| Total Pulses         |           129.61 | 101.22      | 101.54      |
0.32                              |
| Tur                  |            44.71 | 38.32       | 41.06       |
2.74                              |
| Kulthi               |             1.72 | 0.15        | 0.16        |
0.01                              |
| Urad                 |            32.64 | 18.62       | 19.09       |
0.46                              |
| Moong                |            35.69 | 32.18       | 31.13       | 1.06                               |
| Other Pulses         |             5.15 | 2.99        | 2.94        | 0.05                               |
| Moth Bean            |             9.70 | 8.95        | 7.16        | 1.80                               |
| Total Coarse Cereals |           180.71 | 172.57      | 164.76      | 7.81                               |
| Jowar                |            15.07 | 13.17       | 13.53       |
0.36                              |
| Bajra                |            70.69 | 61.58       | 62.36       |
0.79                              |
| Ragi                 |            11.52 | 2.80        | 3.18        |
0.38                              |
| Maize                |            78.95 | 91.62       | 81.99       | 9.63                               |
| Other Small Millets  |             4.48 | 3.40        | 3.69        |
0.29                              |
| Total Oilseeds       |           194.63 | 171.03      | 178.14      |
7.11                              |
| Groundnut            |            45.10 | 41.56       | 43.45       |
1.88                              |
| Sesamum              |            10.32 | 8.38        | 9.00        |
0.61                              |
| Sunflower            |             1.29 | 0.58        | 0.66        |
0.08                              |
| Soybean              |           127.19 | 118.54      | 123.45      |
4.91                              |
| Nigerseed            |             1.08 | 0.12        | 0.24        |
0.12                              |
| Castorseed           |             9.65 | 1.79        | 1.29        | 0.50                               |
| Other Oilseeds       |                  | 0.05        | 0.06        |
0.01                              |
| Sugarcane            |            52.51 | 57.31       | 55.68       | 1.64                               |
| Jute and Mesta       |             6.60 | 5.54        | 5.71        |
0.18                              |
| Cotton               |           129.50 | 105.87      | 108.43      |
2.56                              |
| Grand Total          |          1096.65 | 932.93      | 887.97      | 44.96                              |",Minutes of the meeting of CWWG as on 04.08.2025_p1_c3
2025-08-11,Area Coverage,Minutes of the meeting of CWWG as on 11.08.2025_p1_c2
2025-08-11,"Sowing Stage | Sowing: All India: Progressive Crop Area Sown Report
Kharif Weekly area coverage as on 08.08.2025
Source: CWWG (via API)
Area in Lakh Ha
|                      |   Normal (DA&FW) | Area Sown   | Area Sown   | Difference In Area Coverage Over   |
|----------------------|------------------|-------------|-------------|------------------------------------|
| Crop                 |                  | 2025-26     | 2024-25     | 2024-25                            |
| Rice                 |           403.09 | 364.80      | 325.36      | 39.45                              |
| Total Pulses         |           129.61 | 106.68      | 106.52      | 0.16                               |
| Tur                  |            44.71 | 40.86       | 42.87       |
2.02                              |
| Kulthi               |             1.72 | 0.17        | 0.16        | 0.00                               |
| Urad                 |            32.64 | 20.15       | 19.91       | 0.24                               |
| Moong                |            35.69 | 33.21       | 32.33       | 0.88                               |
| Other Pulses         |             5.15 | 3.24        | 3.21        | 0.03                               |
| Moth Bean            |             9.70 | 9.06        | 8.04        | 1.02                               |
| Total Coarse Cereals |           180.71 | 178.73      | 170.96      | 7.77                               |
| Jowar                |            15.07 | 13.69       | 13.96       |
0.27                              |
| Bajra                |            70.69 | 64.86       | 65.76       |
0.90                              |
| Ragi                 |            11.52 | 4.41        | 4.15        | 0.26                               |
| Maize                |            78.95 | 91.89       | 83.15       | 8.74                               |
| Other Small Millets  |             4.48 | 3.88        | 3.93        |
0.06                              |
| Total Oilseeds       |           194.63 | 175.61      | 182.43      |
6.82                              |
| Groundnut            |            45.10 | 43.23       | 45.06       |
1.84                              |
| Sesamum              |            10.32 | 8.89        | 9.81        |
0.92                              |
| Sunflower            |             1.29 | 0.61        | 0.68        |
0.07                              |
| Soybean              |           127.19 | 119.51      | 124.24      |
4.73                              |
| Nigerseed            |             1.08 | 0.14        | 0.26        |
0.12                              |
| Castorseed           |             9.65 | 3.19        | 2.32        | 0.87                               |
| Other Oilseeds       |                  | 0.05        | 0.06        |
0.01                              |
| Sugarcane            |            52.51 | 57.31       | 55.68       | 1.64                               |
| Jute and Mesta       |             6.60 | 5.54        | 5.71        |
0.18                              |
| Cotton               |           129.50 | 106.96      | 110.49      |
3.53                              |
| Grand Total          |          1096.65 | 995.63      | 957.15      | 38.48                              |",Minutes of the meeting of CWWG as on 11.08.2025_p1_c3
2025-08-11,Over All Intensity Of Pests And Disease Remained Below Economic Threshold Level (Etl) Except observed,Minutes of the meeting of CWWG as on 11.08.2025_p1_c4
2025-08-18,Area Coverage,Minutes of the meeting of CWWG as on 18.08.2025_p1_c3
2025-08-18,"Sowing Stage | Sowing: All India: Progressive Crop Area Sown Report
Kharif Weekly area coverage as on 15.08.2025
Source: CWWG (via API)
Area in Lakh Ha
|                      |   Normal (DA&FW) | Area Sown   | Area Sown   | Difference In Area Coverage Over   |
|----------------------|------------------|-------------|-------------|------------------------------------|
| Crop                 |                  | 2025-26     | 2024-25     | 2024-25                            |
| Rice                 |           403.09 | 398.59      | 362.92      | 35.67                              |
| Total Pulses         |           129.61 | 109.52      | 108.39      | 1.14                               |
| Tur                  |            44.71 | 42.20       | 43.54       |
1.34                              |
| Kulthi               |             1.72 | 0.20        | 0.17        | 0.03                               |
| Urad                 |            32.64 | 20.82       | 19.90       | 0.92                               |
| Moong                |            35.69 | 33.70       | 32.76       | 0.94                               |
| Other Pulses         |             5.15 | 3.46        | 3.32        | 0.14                               |
| Moth Bean            |             9.70 | 9.14        | 8.70        | 0.45                               |
| Total Coarse Cereals |           180.71 | 182.34      | 173.22      | 9.12                               |
| Jowar                |            15.07 | 13.74       | 13.96       |
0.22                              |
| Bajra                |            70.69 | 65.67       | 65.88       |
0.21                              |
| Ragi                 |            11.52 | 5.89        | 6.30        |
0.41                              |
| Maize                |            78.95 | 92.79       | 82.97       | 9.82                               |
| Other Small Millets  |             4.48 | 4.25        | 4.12        | 0.13                               |
| Total Oilseeds       |           194.63 | 178.64      | 185.38      |
6.74                              |
| Groundnut            |            45.10 | 43.98       | 46.07       |
2.09                              |
| Sesamum              |            10.32 | 9.22        | 10.12       |
0.89                              |
| Sunflower            |             1.29 | 0.61        | 0.68        |
0.07                              |
| Soybean              |           127.19 | 119.82      | 124.59      |
4.77                              |
| Nigerseed            |             1.08 | 0.16        | 0.27        |
0.11                              |
| Castorseed           |             9.65 | 4.79        | 3.58        | 1.21                               |
| Other Oilseeds   |         |    0.06 |    0.07 |
0.01 |
|------------------|---------|---------|---------|---------|
| Sugarcane        |   52.51 |   57.31 |   55.68 |    1.64 |
| Jute and Mesta   |    6.60 |    5.54 |    5.72 |
0.19 |
| Cotton           |  129.50 |  107.87 |  111.11 |
3.24 |
| Grand Total      | 1096.65 | 1039.81 | 1002.41 |   37.39 |",Minutes of the meeting of CWWG as on 18.08.2025_p1_c4
