Date,Observation,Evidence
2025-08-04,"Maximum Temperatures Are Likely To Be Above Normal By 2-3°C Over Many Parts Of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh And Interior Karnataka. These Are Likely To Be Below Normal Or Near Normal Over Rest Parts Of The Country observed",Minutes of the meeting of CWWG as on 04.08.2025_p1_c1
2025-08-11,"Maximum Temperatures Are Likely To Be Above Normal By 2-3°C Over Many Parts Of Odisha, Chhattisgarh, Telangana, Coastal Andhra Pradesh, Madhya Pradesh, Maharashtra, Gujarat, Rajasthan, And Interior Karnataka. These Are Likely To Be Below Normal Or Near Normal Over Rest Parts Of The Country observed",Minutes of the meeting of CWWG as on 11.08.2025_p1_c1
2025-08-18,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  In  Many  Parts  Of  Central  India, Gujarat, Rajasthan, East Uttar Pradesh, Bihar And Ne India During The First Week observed",Minutes of the meeting of CWWG as on 18.08.2025_p1_c1
2025-08-18,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  In  J&Amp;K,  Himachal  Pradesh, Uttarakhand, Arunachal Pradesh And Some Parts Of Assam During The Second Week observed",Minutes of the meeting of CWWG as on 18.08.2025_p1_c2
2025-09-08,"Maximum  Temperature  Is  Likely  To  Be  Above  Normal  Over  Many  Parts  Of  Karnataka, Maharashtra, Chhattisgarh, Bihar And Arunachal Pradesh observed",Minutes of the meeting of CWWG as on 08.09.2025_p1_c1
2025-09-22,"Conditions Are Becoming Favourable For Further Withdrawal Of Southwest Monsoon From Some  More  Parts  Of  Gujarat,  Rajasthan,  Haryana  And  Punjab;  Some  Parts  Of  Himachal Pradesh, Jammu &Amp; Kashmir And Uttar Pradesh During Next 24 Hours observed",Minutes of the meeting of CWWG as on 22.09.2025_p1_c1
2025-09-29,"Southwest  Monsoon  Has  Withdrawal  From  Many  Parts  Of  Gujarat  And  Rajasthan;  Entire Punjab And Haryana, Chandigarh &Amp; Delhi; Some Parts Of Madhya Pradesh, Up, Himachal Pradesh And Jammu &Amp; Kashmir Till Now observed",Minutes of the meeting of CWWG as on 29.09.2025_p1_c1
2025-09-29,"Overall, Maximum Temperatures Are Likely To Be Above Normal By 3-5°C Over Most Parts Of Northeast India; Above Normal By 2-4°C Over Most Parts Of Northwest India, Gujarat And Bihar. These Are Very Likely To Be Near Normal Or Below Normal Over Remaining Parts Of The Country During The Week observed",Minutes of the meeting of CWWG as on 29.09.2025_p1_c2
2025-10-06,"Southwest  Monsoon  Has  Withdrawal  From  Many  Parts  Of  Gujarat  And  Rajasthan;  Entire Punjab And Haryana, Chandigarh &Amp; Delhi; Some Parts Of Madhya Pradesh, Up, Himachal Pradesh And Jammu &Amp; Kashmir Till Now observed",Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c1
2025-10-06,Conditions Are Favourable For Further Withdrawal Of Southwest Monsoon From Some More Parts Of Madhya Pradesh And Uttar Pradesh And Some Parts Of Maharashtra During Next 45 Days observed,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c2
2025-10-13,"Conditions Are Favourable For Further Withdrawal Of Southwest Monsoon From Remaining Parts  Of  Maharashtra,  Madhya  Pradesh,  Uttar  Pradesh  And  Bihar;  Entire  Jharkhand  And Some  Parts  Of  West  Bengal,  Sikkim,  Chhattisgarh,  Odisha  &Amp;  Telangana  During  Next  24 Hours And From North East India During Subsequent 1-2 Days observed",Minutes of the meeting of CWWG as on 13.10.2025_p1_c1
2025-11-17,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  North  Rajasthan,  Punjab  &Amp; Haryana During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 17.11.2025_p1_c1
2025-11-24,"Cold Wave Conditions Likely To Occur At Isolated Pockets Of West Rajasthan, South Punjab &Amp; South Haryana During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 24.11.2025_p1_c1
2025-12-01,Cold  Wave  Conditions Very  Likely  To  Prevail  In  Isolated  Pockets  Of  Punjab  On  28 Th  &Amp;  29 Th November; Over Rajasthan On 03 Rd observed,Minutes of the meeting of CWWG as on 01.12.2025_p1_c1
2025-12-01,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  North  Rajasthan,  Punjab  &Amp; Haryana During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 01.12.2025_p1_c2
2025-12-01,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 01.12.2025_p1_c3
2025-12-08,No  Significant  Change  In  Minimum  Temperature  Likely  For  Next  5  Days  And  Fall  By  2-30C Thereafter During Subsequent 2 Days In Maharashtra And No Significant Change In Minimum Temperature Is Likely Over The Gujarat During Next 7 Days observed,Minutes of the meeting of CWWG as on 08.12.2025_p1_c1
2025-12-08,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 08.12.2025_p1_c2
2025-12-15,"Cold  Wave  Conditions  Are  Likely  To  Prevail  In  Isolated  Pockets  Over  Interior  Odisha, Adjoining Chhattisgarh, East Madhya Pradesh, Vidarbha, And Telangana During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 15.12.2025_p1_c1
2025-12-15,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Himachal Pradesh, Punjab, Haryana Chandigarh &Amp; Delhi And Rajasthan During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 15.12.2025_p1_c2
2025-12-29,"Dense  Fog  Conditions  Are  Likely  To  Prevail  During  Night-Morning  Hours  At  A  Few  Pockets Across  North  And  Isolated  Over  Adjoin  Central  India,  Isolated  Over  Odisha,  Northeastern States And West Bengal And Sikkim On Some Days Of The Week observed",Minutes of the meeting of CWWG as on 29.12.2025_p1_c1
2026-01-05,"Cold  Wave  Conditions  Are  Likely  Over  Some  Parts  Of  Punjab,  Haryana,  North  Rajasthan, North  Madhya  Pradesh,  Interior  Odisha, Adjoining Parts Of West Jharkhand, North Chhattisgarh, And South Uttar Pradesh During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 05.01.2026_p1_c1
2026-01-12,"Minimum Temperature Is Likely To Be Below Normal In Most Of India Except J&Amp;K, Some Parts Of Himachal Pradesh, Saurashtra-Kutch, Some Parts Of South Karnataka And Ne India observed",Minutes of the meeting of CWWG as on 12.01.2026_p1_c1
2026-01-12,"Cold  Wave  Conditions  Likely  To  Occur  At  Isolated  Pockets  Of  Chhattisgarh,  Jharkhand  And Odisha During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 12.01.2026_p1_c2
2026-01-12,"Dense Fog Conditions  Likely  To  Prevail  During  Early  Morning  Hours  In  Isolated  Pockets  Of Western  Himalayan  Region,  Punjab,  Haryana  &Amp;  Chandigarh  And  North  Rajasthan,  Uttar Pradesh, Bihar And Northeastern States During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 12.01.2026_p1_c3
2026-01-27,"West  Madhya  Pradesh,   Many  Parts  Of  Madhya  Maharashtra,  Ne  India  And Some  Parts  Of  South Karnataka observed",Minutes of the meeting of CWWG as on 27.01.2026_p1_c1
2026-01-27,"Cold Wave Conditions Likely In Isolated Pockets Over Himachal Pradesh During 29Th-31St; Punjab, Haryana, Chandigarh During 28Th-31St January observed",Minutes of the meeting of CWWG as on 27.01.2026_p1_c2
2026-02-02,"Parts  Of  J&Amp;K,  West  Madhya  Pradesh,   Many  Parts  Of  Madhya  Maharashtra,  Ne  India And Some Parts Of South Karnataka observed",Minutes of the meeting of CWWG as on 02.02.2026_p1_c1
2026-02-09,"Minimum Temperature Is Likely To  Be  Below  Normal In Many Parts Of East  India,  Central India,  South India, Many Parts Of Maharashtra, Uttar Pradesh, Haryana, Punjab And Many Parts Of West Rajasthan observed",Minutes of the meeting of CWWG as on 09.02.2026_p1_c1
2026-02-16,"No Significant Change In Maximum Temperatures Likely Over Karnataka, Kerala &Amp; Mahe And Konkan &Amp; Goa And Gradual Rise By About 2 ° C For Subsequent Days observed",Minutes of the meeting of CWWG as on 16.02.2026_p1_c1
2026-02-16,Hot And Humid Conditions Likely Over Coastal Karnataka And Konkan &Amp; Goa observed,Minutes of the meeting of CWWG as on 16.02.2026_p1_c2
2026-03-02,"Groundwater Levels :  In  August  2025,  In  Post-Monsoon 2025, Around 90% Of The Country'S Monitoring Stations Exhibited A Depth To Water Level Within 10 Meters Below Ground Level. Deeper  Water  Levels  Of  More  Than  20  M  Are  Observed  In  Around  5%  Of  Stations  Of  The Country  Covering  Mainly  The  Western  States,  Especially  Western  Rajasthan,  Punjab, Haryana And Chandigarh observed",Minutes of the meeting of CWWG as on 02.03.2026_p1_c1
2026-03-02,"The Deeper Groundwater Level In The States Like Western Rajasthan, Punjab, Haryana And Chandigarh  During  Post-Monsoon  2025  Has  Been  Significantly  Influenced  By  The  Over Extraction Of Groundwater Compared To The Recharge During The Monsoon Period observed",Minutes of the meeting of CWWG as on 02.03.2026_p1_c2
2026-03-02,Pest Incidence,Minutes of the meeting of CWWG as on 02.03.2026_p1_c3
2026-03-02,Leaf curl observed,Minutes of the meeting of CWWG as on 02.03.2026_p1_c4
2026-03-02,"Minimum  Temperature  Is  Likely  To  Be  Above  Normal  In  Many  Parts  Of  Nw  India,  Bihar, Gujarat  State,  Some  Parts  Of  Madhya  Maharashtra,  Many  Parts  Of  M.P.,  South  Karnataka, Some  Parts  Of  Tamil  Nadu,  Rayalseema,  Southern  Parts  Of  Cap  And  Ne  India.  Tmin  Is Likely  To  Be  Below  Normal  In  Many  Parts  Of  East  India,  Many  Parts  Of  Maharashtra  And Kerala observed",Minutes of the meeting of CWWG as on 02.03.2026_p1_c5
2026-03-16,"Maximum Temperatures Are Likely To Be Above Normal Over Most Parts Of The Country Except, Madhya  Pradesh,  Interior  Maharashtra,  Interior-Karnatak,  Telangana,  Rayalaseema,  And Kerala; Where They Are Below Normal By 2-3°C During The Week observed",Minutes of the meeting of CWWG as on 16.03.2026_p1_c1
2026-03-16,"Maximum  Temperatures  Are  Likely  To  Be  Above  Normal  Over  J&Amp;K,  Himachal  Pradesh, Uttarakhand,  Arunachal  Pradesh,  Odisha,  Some  Parts  Of  East  M.P.,  Chhattisgarh,  Tamil Nadu, Cap, Coastal Karnataka, Konkan-Goa And Gujarat observed",Minutes of the meeting of CWWG as on 16.03.2026_p1_c2
2026-03-30,"Maximum Temperature Is Likely To Be Above Normal Over Many Parts Of North West India, East India, Chhattisgarh, Konkan &Amp; Goa, Coastal Karnataka, North Kerala, Coastal Andhra Pradesh &Amp; Yanam And Coastal Regions Of Tamil Nadu observed",Minutes of the meeting of CWWG as on 30.03.2026_p1_c3
2026-03-30,"Maximum  Temperature  Is  Likely  To  Be  Above  Normal  Over  Many  Parts  Of  North  West  India,  East India, South India, Chhattisgarh And Konkan &Amp; Goa observed",Minutes of the meeting of CWWG as on 30.03.2026_p1_c4
2026-04-06,"Maximum Temperature Is Likely To Be Above Normal In North East India, Many Parts Of Bihar, Many Parts Of J&Amp;K And In Coastal Regions Of Odisha, Coastal Andhra Pradesh And Kerala observed",Minutes of the meeting of CWWG as on 06.04.2026_p1_c3
2026-04-06,Low Probability  Of  Heat  Wave  Conditions  Likely  During  The  Second  Half  Of  The  Week  Over  Coastal Odisha And Adjoining North Coastal Andhra Pradesh observed,Minutes of the meeting of CWWG as on 06.04.2026_p1_c4
2026-04-06,"Appreciably  Above  Normal  (+3.1  To  +5.0°C)  Maximum  Temperatures  Are  Likely  Over  Some  Parts  Of Interior &Amp; Coastal Odisha And Adjoining Coastal Andhra Pradesh; Normal To Above-Normal Maximum Temperatures ((+1.6 To +3.0°C) Are Likely Over Some Parts Of The East, South And Western Parts Of India (Gangetic West Bengal, Odisha, Coastal Andhra Pradesh, Tamil Nadu, Southern Parts Of Kerala, Coastal  Regions  Of  Gujarat  State,  Konkan,  Goa  And  Coastal  Karnataka).  Normal  To  Below  Normal Weekly Maximum Temperatures Are Likely Across The Rest Of The Country observed",Minutes of the meeting of CWWG as on 06.04.2026_p1_c5
2026-04-13,"Low To Moderate Probability Of Heat Wave Conditions Likely During The Week 2 Over Some Parts Of Odisha, Jharkhand, Bihar, Chhattisgarh, &Amp; North Coastal Andhra Pradesh. Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Some Parts Of Odisha, North Coastal Andhra Pradesh, Jharkhand, Bihar, Chhattisgarh, Gangetic West Bengal And East Uttar Pradesh; Normal To Above-Normal  Maximum  Temperatures  ((+1.6  To  +3.0°C)  Are  Likely  Over  Most  Parts  Of  Northwest India,  And  Many  Parts  Of  The  East  &Amp;  Northeast,  South  And  Western  Parts  Of  India.  Below-Normal Weekly Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country observed",Minutes of the meeting of CWWG as on 13.04.2026_p1_c3
2026-04-20,"Low Probability Of Heatwave Conditions Likely During Some Days Of Week 2 Over Central &Amp; Adjoining South  Peninsular  Parts  Of  The  Country  (Madhya  Pradesh,  East  Rajasthan,  Southern  Parts  Of  Uttar Pradesh,  Chhattisgarh,  Jharkhand,  &Amp;  Vidarbha).  Appreciably  Above  Normal  (+3.1  To  +5.0°C) Maximum  Temperatures  Are  Likely  Over  Some  Parts  Of  Jammu  &Amp;  Kashmir,  And  Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Most Parts Of Northwest &Amp; Central India, And Many Parts  Of  The  East  &Amp;  Northeast,  And  The  West  Coast  Of  India.  Near-Normal  Weekly  Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country observed",Minutes of the meeting of CWWG as on 20.04.2026_p1_c3
2026-04-27,"Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Parts Of Jammu &Amp; Kashmir,  Punjab,  Haryana,  Rajasthan,  Madhya  Pradesh,  Uttar  Pradesh,  Bihar,  Jharkhand,  Odisha, Gangetic West Bengal, Chhattisgarh, Vidarbha, Rayalaseema, Telangana &Amp; Kerala; Normal To Abovenormal Maximum Temperatures Are Likely Over Most Parts Of The Country During The Week observed",Minutes of the meeting of CWWG as on 27.04.2026_p1_c3
2026-04-27,"Low  Probability  Of  Heatwave  Conditions  Likely  During  Some  Days  Of  The  Week  Over  Rajasthan  &Amp; Adjoining Punjab &Amp; Haryana, Uttar Pradesh, Madhya Pradesh, Chhattisgarh, Odisha, &Amp; Vidarbha. Appreciably Above Normal Maximum Temperatures Are Likely Over Some Parts Of Jammu &Amp; Kashmir, And Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Most Parts Of Northwest &Amp; Central India, And Many Parts Of The East &Amp; Northeast, And The West Coast Of India. Near-Normal Weekly Maximum Temperatures Are Likely In Isolated Places Over The Rest Of The Country observed",Minutes of the meeting of CWWG as on 27.04.2026_p1_c4
2026-05-04,"Low  Probability  Of  Heatwave  Conditions  Likely  During  Some  Days  Of  Week  2  Over  Rajasthan  &Amp; Vidarbha,  And  Adjoining  Southern  Parts  Of  Madhya  Pradesh  And  Chhattisgarh.  Above-Normal Maximum Temperatures (+1.6 To +3.0°C) Are Likely Over Many Parts Of Rajasthan And Gujarat, Along The  West  Coast,  And  Over  Odisha  &Amp;  Coastal  Andhra  Pradesh  On  The  East  Coast.  Below-Normal Maximum Temperatures (-1.6 To observed",Minutes of the meeting of CWWG as on 04.05.2026_p1_c4
2026-05-04,"0°C) Are Likely Over Parts Of Bihar, Jharkhand, And Gangetic West Bengal. Near-Normal Weekly Maximum Temperatures Are Likely Over The Rest Of The Country observed",Minutes of the meeting of CWWG as on 04.05.2026_p1_c5
2026-05-11,Heat  Wave  Conditions  Likely  To  Prevail  In  Isolated  Pockets  Over  Gujarat  State  And  West  Rajasthan During 09Th observed,Minutes of the meeting of CWWG as on 11.05.2026_p1_c3
2026-05-11,"Low Probability Of Heatwave Conditions Likely During Some Days Of Week 2 Over Rajasthan, Gujarat, Vidarbha, Madhya Pradesh And Uttar Pradesh. Appreciably Above Normal (+3.1 To +5.0°C) Maximum Temperatures Are Likely Over Parts Of Rajasthan &Amp; Adjoining Madhya Pradesh, Gujarat; Above Normal (+1.6 To +3.0°C) Temperatures Are Likely Along The Northwest, Central &Amp; Adjoining Eastern Parts Of The Country. Near-Normal Maximum Temperatures Are Likely Across Rest Of The Country During The Week observed",Minutes of the meeting of CWWG as on 11.05.2026_p1_c4
2026-05-18,No Significant Change In Maximum Temperatures Likely Over Maharashtra And Gujarat State Till 19Th And Gradual Fall By 2-3°C During 20Th observed,Minutes of the meeting of CWWG as on 18.05.2026_p1_c3
2026-05-18,"Low Probability Of Warm Night Conditions Is Likely Over Punjab, Haryana, And Adjoining West Uttar Pradesh On Some Days Of The Week observed",Minutes of the meeting of CWWG as on 18.05.2026_p1_c4
2026-05-25,"Low  To  Moderate  Probability  Of  Heatwave  Conditions  Likely  Over  Some  Parts  Of  Northwest  India (Punjab, Haryana, Rajasthan, Uttar Pradesh, Jammu &Amp; Kashmir, Southern Parts Of Himachal Pradesh &Amp; Uttarakhand) During Some/Many Days Of The Week observed",Minutes of the meeting of CWWG as on 25.05.2026_p1_c2
2026-05-25,"Low Probability Of Warm Night Conditions Is Likely Over Punjab, Haryana, And Adjoining West Uttar Pradesh On Some Days Of The Week observed",Minutes of the meeting of CWWG as on 25.05.2026_p1_c3
2026-06-01,"Low Probability Of Heatwave Conditions Likely Over Some Parts Of Northwest India (Rajasthan, South Punjab, South Haryana, South Uttar Pradesh) During Some Days Of The Week observed",Minutes of the meeting of CWWG as on 01.06.2026_p1_c3
2026-06-01,"Above-Normal (+1.6 To +3.0°C) To Appreciably Above-Normal (+3.1 To +5.0°C)  Maximum Temperatures Are Likely Over Some Parts Of East India (Bihar, Gangetic West Bengal &Amp; Odisha). Nearnormal  Weekly  Maximum  Temperatures  (-1.5  To  +1.5°C)  Are  Likely  Across  The  Rest  Of  The  Country During The Week observed",Minutes of the meeting of CWWG as on 01.06.2026_p1_c4
2026-06-01,"Maximum Temperatures Are Very Likely To Be 4-5 Deg Celsius Below Normal Over Most Parts Of The Country  During  Week  2 Except  Many  Parts  Of  Odisha,  West  Bengal,  Bihar,  And  Arunachal Pradesh, West Rajasthan, Punjab observed",Minutes of the meeting of CWWG as on 01.06.2026_p1_c5
2026-06-08,"Low Probability Of Heatwave Conditions Likely Over Parts Of Northwest India (Uttar Pradesh) And Parts Of East India (Bihar, Jharkhand, Odisha, Gangetic West Bengal &Amp; Chhattisgarh) And Adjoining Central India (Madhya Pradesh) On Some Days Of The Week observed",Minutes of the meeting of CWWG as on 08.06.2026_p1_c2
