Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Green Gram (Moong),Andhra Pradesh,Harvest Progress,Harvesting,,,"| 3         | Pulses                     |              140.42 |                 139.55 |              67.00 | Overall around 67% area has been harvested mainly in Gram (66%), Lentil (48%), Fieldpea (89%), Urdbean (86%), Moongbean (63%), etc has already been harvested.                                      |",,,,,,,"3 Pulses 140.42 139.55 67.00 Overall around 67% area has been harvested mainly in Gram (66%), Lentil (48%), Fieldpea (89%), Urdbean (86%), Moongbean (63%), etc has already been harvested.",Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c16,0.9,VERIFIED,rule_based
2026-03-30,,Green Gram (Moong),Tamil Nadu,Pest Incidence,Harvesting,,,Green Gram (Moong) in Tamil Nadu has 90% harvested.,Green Gram (Moong) In Tamil Nadu Has 90% Harvested,,,,,,Green Gram (Moong) in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c41,0.9,VERIFIED,rule_based
2026-03-30,,Green Gram (Moong),Andhra Pradesh,Pest Incidence,Harvesting,,,Green Gram (Moong) in Andhra Pradesh has 75% harvested.,Green Gram (Moong) In Andhra Pradesh Has 75% Harvested,,,,,,Green Gram (Moong) in Andhra Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c42,0.9,VERIFIED,rule_based
2026-03-30,,Green Gram (Moong),West Bengal,Pest Incidence,Harvesting,,,Green Gram (Moong) in West Bengal has 90% harvested.,Green Gram (Moong) In West Bengal Has 90% Harvested,,,,,,Green Gram (Moong) in West Bengal has 90% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c43,0.9,VERIFIED,rule_based
2026-03-30,,Green Gram (Moong),Chhattisgarh,Pest Incidence,Harvesting,,,Green Gram (Moong) in Chhattisgarh has 75% harvested.,Green Gram (Moong) In Chhattisgarh Has 75% Harvested,,,,,,Green Gram (Moong) in Chhattisgarh has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c44,0.9,VERIFIED,rule_based
2026-03-30,,Green Gram (Moong),Bihar,Pest Incidence,Harvesting,,,Green Gram (Moong) in Bihar has 40% harvested.,Green Gram (Moong) In Bihar Has 40% Harvested,,,,,,Green Gram (Moong) in Bihar has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c45,0.9,VERIFIED,rule_based
2026-04-06,,Green Gram (Moong),Andhra Pradesh,Harvest Progress,Harvesting,,,"| 3                                                             | Pulses                                                        | 140.42                                                        | 139.55                                                        | 82.00                                                         | Overall around 82% area has been harvested mainly in Gram (82%), Lentil (66%), Fieldpae (94%), Urdbean (93%), Moongbean (69%), etc has already been harvested.                                        |",,,,,,,"3 Pulses 140.42 139.55 82.00 Overall around 82% area has been harvested mainly in Gram (82%), Lentil (66%), Fieldpae (94%), Urdbean (93%), Moongbean (69%), etc has already been harvested.",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c16,0.9,VERIFIED,rule_based
2026-04-06,,Green Gram (Moong),Tamil Nadu,Pest Incidence,Harvesting,,,Green Gram (Moong) in Tamil Nadu has 90% harvested.,Green Gram (Moong) In Tamil Nadu Has 90% Harvested,,,,,,Green Gram (Moong) in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c41,0.9,VERIFIED,rule_based
2026-04-06,,Green Gram (Moong),Andhra Pradesh,Pest Incidence,Harvesting,,,Green Gram (Moong) in Andhra Pradesh has 85% harvested.,Green Gram (Moong) In Andhra Pradesh Has 85% Harvested,,,,,,Green Gram (Moong) in Andhra Pradesh has 85% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c42,0.9,VERIFIED,rule_based
2026-04-06,,Green Gram (Moong),Chhattisgarh,Pest Incidence,Harvesting,,,Green Gram (Moong) is 100% harvested in Chhattisgarh.,Green Gram (Moong) Is 100% Harvested In Chhattisgarh,,,,,,Green Gram (Moong) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c43,0.9,VERIFIED,rule_based
