Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Groundnut,Madhya Pradesh,Harvest Progress,Harvesting,,,"| 5   | Oilseeds           |   86.78 |   97.19 |   71.56 | Overall around 72% area has been harvested mainly in Rapeseed & Mustard (76%), Groundnut (30%), Safflower (53%), Sunflower (67%), Linseed (48%), etc has already been harvested.               |",,,,,,,"5 Oilseeds 86.78 97.19 71.56 Overall around 72% area has been harvested mainly in Rapeseed & Mustard (76%), Groundnut (30%), Safflower (53%), Sunflower (67%), Linseed (48%), etc has already been harvested.",Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c64,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Telangana,Pest Incidence,Harvesting,,,Groundnut in Telangana has 67% harvested.,Groundnut In Telangana Has 67% Harvested,,,,,,Groundnut in Telangana has 67% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c77,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Tamil Nadu,Pest Incidence,Harvesting,,,Groundnut in Tamil Nadu has 39% harvested.,Groundnut In Tamil Nadu Has 39% Harvested,,,,,,Groundnut in Tamil Nadu has 39% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c78,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Andhra Pradesh,Pest Incidence,Harvesting,,,Groundnut in Andhra Pradesh has 20% harvested.,Groundnut In Andhra Pradesh Has 20% Harvested,,,,,,Groundnut in Andhra Pradesh has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c79,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Karnataka,Pest Incidence,Harvesting,,,Groundnut in Karnataka has 12% harvested.,Groundnut In Karnataka Has 12% Harvested,,,,,,Groundnut in Karnataka has 12% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c80,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Karnataka,Pest Incidence,Harvesting,,,Groundnut in Karnataka has 87% harvested.,Groundnut In Karnataka Has 87% Harvested,,,,,,Groundnut in Karnataka has 87% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c81,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Andhra Pradesh,Pest Incidence,Harvesting,,,Groundnut in Andhra Pradesh has 30% harvested.,Groundnut In Andhra Pradesh Has 30% Harvested,,,,,,Groundnut in Andhra Pradesh has 30% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c82,0.9,VERIFIED,rule_based
2026-03-30,,Groundnut,Telangana,Pest Incidence,Harvesting,,,Groundnut in Telangana has 14% harvested.,Groundnut In Telangana Has 14% Harvested,,,,,,Groundnut in Telangana has 14% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c83,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Madhya Pradesh,Harvest Progress,Harvesting,,,"| 5                                                             | Oilseeds                                                      | 86.78                                                         | 97.19                                                         | 94.07                                                         | Overall around 94% area has been harvested mainly in Rapeseed & Mustard (99%), Groundnut (38%), Safflower (83%), Sunflower (78%), Linseed (86%), etc has already been harvested.                      |",,,,,,,"5 Oilseeds 86.78 97.19 94.07 Overall around 94% area has been harvested mainly in Rapeseed & Mustard (99%), Groundnut (38%), Safflower (83%), Sunflower (78%), Linseed (86%), etc has already been harvested.",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c65,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Telangana,Pest Incidence,Harvesting,,,Groundnut in Telangana has 67% harvested.,Groundnut In Telangana Has 67% Harvested,,,,,,Groundnut in Telangana has 67% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c80,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Tamil Nadu,Pest Incidence,Harvesting,,,Groundnut in Tamil Nadu has 50% harvested.,Groundnut In Tamil Nadu Has 50% Harvested,,,,,,Groundnut in Tamil Nadu has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c81,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Andhra Pradesh,Pest Incidence,Harvesting,,,Groundnut in Andhra Pradesh has 24% harvested.,Groundnut In Andhra Pradesh Has 24% Harvested,,,,,,Groundnut in Andhra Pradesh has 24% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c82,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Andhra Pradesh,Harvest Progress,Harvesting,,,"|    |                |        |        |       | (20%), etc has already been harvested.                                                                                               |",,,,,,,"(20%), etc has already been harvested.",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c83,0.9,VERIFIED,rule_based
2026-04-06,,Groundnut,Andhra Pradesh,Other,,,,,,,,,,,---- ---------------- -------- -------- ------- --------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c84,0.7,VERIFIED,rule_based
