Date,Observation,Evidence
2026-03-30,"Harvesting Stage | Harvest: | 5   | Oilseeds           |   86.78 |   97.19 |   71.56 | Overall around 72% area has been harvested mainly in Rapeseed & Mustard (76%), Groundnut (30%), Safflower (53%), Sunflower (67%), Linseed (48%), etc has already been harvested.               |",Minutes of the meeting of CWWG as on 30.03.2026_p1_c64
2026-03-30,Harvesting Stage | Groundnut In Telangana Has 67% Harvested observed | Harvest: Groundnut in Telangana has 67% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c77
2026-03-30,Harvesting Stage | Groundnut In Tamil Nadu Has 39% Harvested observed | Harvest: Groundnut in Tamil Nadu has 39% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c78
2026-03-30,Harvesting Stage | Groundnut In Andhra Pradesh Has 20% Harvested observed | Harvest: Groundnut in Andhra Pradesh has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c79
2026-03-30,Harvesting Stage | Groundnut In Karnataka Has 12% Harvested observed | Harvest: Groundnut in Karnataka has 12% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c80
2026-03-30,Harvesting Stage | Groundnut In Karnataka Has 87% Harvested observed | Harvest: Groundnut in Karnataka has 87% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c81
2026-03-30,Harvesting Stage | Groundnut In Andhra Pradesh Has 30% Harvested observed | Harvest: Groundnut in Andhra Pradesh has 30% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c82
2026-03-30,Harvesting Stage | Groundnut In Telangana Has 14% Harvested observed | Harvest: Groundnut in Telangana has 14% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c83
2026-04-06,"Harvesting Stage | Harvest: | 5                                                             | Oilseeds                                                      | 86.78                                                         | 97.19                                                         | 94.07                                                         | Overall around 94% area has been harvested mainly in Rapeseed & Mustard (99%), Groundnut (38%), Safflower (83%), Sunflower (78%), Linseed (86%), etc has already been harvested.                      |",Minutes of the meeting of CWWG as on 06.04.2026_p1_c65
2026-04-06,Harvesting Stage | Groundnut In Telangana Has 67% Harvested observed | Harvest: Groundnut in Telangana has 67% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c80
2026-04-06,Harvesting Stage | Groundnut In Tamil Nadu Has 50% Harvested observed | Harvest: Groundnut in Tamil Nadu has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c81
2026-04-06,Harvesting Stage | Groundnut In Andhra Pradesh Has 24% Harvested observed | Harvest: Groundnut in Andhra Pradesh has 24% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c82
2026-04-06,"Harvesting Stage | Harvest: |    |                |        |        |       | (20%), etc has already been harvested.                                                                                               |",Minutes of the meeting of CWWG as on 06.04.2026_p1_c83
