Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Lentil (Masur),Uttar Pradesh,Pest Incidence,Harvesting,,,Lentil (Masur) in Uttar Pradesh has 50% harvested.,Lentil (Masur) In Uttar Pradesh Has 50% Harvested,,,,,,Lentil (Masur) in Uttar Pradesh has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c25,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),West Bengal,Pest Incidence,Harvesting,,,Lentil (Masur) in West Bengal has 75% harvested.,Lentil (Masur) In West Bengal Has 75% Harvested,,,,,,Lentil (Masur) in West Bengal has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c26,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Madhya Pradesh,Pest Incidence,Harvesting,,,Lentil (Masur) in Madhya Pradesh has 50% harvested.,Lentil (Masur) In Madhya Pradesh Has 50% Harvested,,,,,,Lentil (Masur) in Madhya Pradesh has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c27,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Bihar,Pest Incidence,Harvesting,,,Lentil (Masur) in Bihar has 25% harvested.,Lentil (Masur) In Bihar Has 25% Harvested,,,,,,Lentil (Masur) in Bihar has 25% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c28,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),West Bengal,Pest Incidence,Harvesting,,,Lentil (Masur) is 100% harvested in West Bengal.,Lentil (Masur) Is 100% Harvested In West Bengal,,,,,,Lentil (Masur) is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c29,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Assam,Pest Incidence,Harvesting,,,Lentil (Masur) is 100% harvested in Assam.,Lentil (Masur) Is 100% Harvested In Assam,,,,,,Lentil (Masur) is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c30,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Uttar Pradesh,Pest Incidence,Harvesting,,,Lentil (Masur) in Uttar Pradesh has 95% harvested.,Lentil (Masur) In Uttar Pradesh Has 95% Harvested,,,,,,Lentil (Masur) in Uttar Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c31,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Madhya Pradesh,Pest Incidence,Harvesting,,,Lentil (Masur) in Madhya Pradesh has 95% harvested.,Lentil (Masur) In Madhya Pradesh Has 95% Harvested,,,,,,Lentil (Masur) in Madhya Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c32,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Jharkhand,Pest Incidence,Harvesting,,,Lentil (Masur) in Jharkhand has 50% harvested.,Lentil (Masur) In Jharkhand Has 50% Harvested,,,,,,Lentil (Masur) in Jharkhand has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c33,0.9,VERIFIED,rule_based
2026-03-30,,Lentil (Masur),Karnataka,Pest Incidence,Harvesting,,,Lentil (Masur) is 100% harvested in Karnataka.,Lentil (Masur) Is 100% Harvested In Karnataka,,,,,,Lentil (Masur) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c34,0.9,VERIFIED,rule_based
