Date,Observation,Evidence
2026-03-30,Harvesting Stage | Lentil (Masur) In Uttar Pradesh Has 50% Harvested observed | Harvest: Lentil (Masur) in Uttar Pradesh has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c25
2026-03-30,Harvesting Stage | Lentil (Masur) In West Bengal Has 75% Harvested observed | Harvest: Lentil (Masur) in West Bengal has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c26
2026-03-30,Harvesting Stage | Lentil (Masur) In Madhya Pradesh Has 50% Harvested observed | Harvest: Lentil (Masur) in Madhya Pradesh has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c27
2026-03-30,Harvesting Stage | Lentil (Masur) In Bihar Has 25% Harvested observed | Harvest: Lentil (Masur) in Bihar has 25% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c28
2026-03-30,Harvesting Stage | Lentil (Masur) Is 100% Harvested In West Bengal observed | Harvest: Lentil (Masur) is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c29
2026-03-30,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Assam observed | Harvest: Lentil (Masur) is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c30
2026-03-30,Harvesting Stage | Lentil (Masur) In Uttar Pradesh Has 95% Harvested observed | Harvest: Lentil (Masur) in Uttar Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c31
2026-03-30,Harvesting Stage | Lentil (Masur) In Madhya Pradesh Has 95% Harvested observed | Harvest: Lentil (Masur) in Madhya Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c32
2026-03-30,Harvesting Stage | Lentil (Masur) In Jharkhand Has 50% Harvested observed | Harvest: Lentil (Masur) in Jharkhand has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c33
2026-03-30,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Karnataka observed | Harvest: Lentil (Masur) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c34
2026-03-30,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Chhattisgarh observed | Harvest: Lentil (Masur) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c35
2026-03-30,Harvesting Stage | Lentil (Masur) In Tamil Nadu Has 95% Harvested observed | Harvest: Lentil (Masur) in Tamil Nadu has 95% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c36
2026-03-30,Harvesting Stage | Lentil (Masur) In West Bengal Has 90% Harvested observed | Harvest: Lentil (Masur) in West Bengal has 90% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c37
2026-03-30,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Tamil Nadu observed | Harvest: Lentil (Masur) is 100% harvested in Tamil Nadu.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c38
2026-03-30,Harvesting Stage | Lentil (Masur) In Andhra Pradesh Has 75% Harvested observed | Harvest: Lentil (Masur) in Andhra Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c39
2026-03-30,Harvesting Stage | Lentil (Masur) In Chhattisgarh Has 25% Harvested observed | Harvest: Lentil (Masur) in Chhattisgarh has 25% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c40
2026-04-06,Harvesting Stage | Lentil (Masur) In Uttar Pradesh Has 60% Harvested observed | Harvest: Lentil (Masur) in Uttar Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c25
2026-04-06,Harvesting Stage | Lentil (Masur) In West Bengal Has 85% Harvested observed | Harvest: Lentil (Masur) in West Bengal has 85% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c26
2026-04-06,Harvesting Stage | Lentil (Masur) In Madhya Pradesh Has 75% Harvested observed | Harvest: Lentil (Masur) in Madhya Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c27
2026-04-06,Harvesting Stage | Lentil (Masur) In Bihar Has 50% Harvested observed | Harvest: Lentil (Masur) in Bihar has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c28
2026-04-06,Harvesting Stage | Lentil (Masur) Is 100% Harvested In West Bengal observed | Harvest: Lentil (Masur) is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c29
2026-04-06,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Madhya Pradesh observed | Harvest: Lentil (Masur) is 100% harvested in Madhya Pradesh.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c30
2026-04-06,Harvesting Stage | Lentil (Masur) Is 100% Harvested In Assam observed | Harvest: Lentil (Masur) is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c31
2026-04-06,Harvesting Stage | Lentil (Masur) In Uttar Pradesh Has 95% Harvested observed | Harvest: Lentil (Masur) in Uttar Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c32
2026-04-06,Harvesting Stage | Lentil (Masur) In Jharkhand Has 60% Harvested observed | Harvest: Lentil (Masur) in Jharkhand has 60% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c33
