Date,State,Parameter,Value,Chunk ID
2025-09-15,All India,Reported Statistic,"Rice : About 438.51 lakh ha (108.0% of Normal) area coverage under Kharif Rice as compared to 430.06 lakh ha during the corresponding period of last year.
- Maize : About 94.84 lakh ha (120.1% of Normal) area coverage under Maize has been reported as compared to 84.30 lakh ha during the corresponding period of last year.
- Moong : About 34.54 lakh ha (96.8% of Normal) area coverage under Moong as compared to 34.86 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 15.09.2025_p1_c1
2025-09-15,Maharashtra,Reported Statistic,- Soybean : About 120.43 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported as compared to 126.24 lakh ha during the corresponding period of last year. Soyabean area diverted in Maize in MP and Maharashtra.,Minutes of the meeting of CWWG as on 15.09.2025_p1_c2
2025-09-22,Gujarat,Reported Statistic,"Rice : About 438.51 lakh ha (108.0% of Normal) area coverage under Kharif Rice as compared to 430.06 lakh ha during the corresponding period of last year.
- Maize : About 94.95 lakh ha (120.3% of Normal) area coverage under Maize has been reported as compared to 84.30 lakh ha during the corresponding period of last year.
- Moong : About 34.79 lakh ha (97.5% of Normal) area coverage under Moong as compared to 34.96 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 22.09.2025_p1_c2
2025-09-22,Maharashtra,Reported Statistic,- Soybean : About 120.44 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported as compared to 126.26 lakh ha during the corresponding period of last year. Soyabean area diverted in Maize in MP and Maharashtra.,Minutes of the meeting of CWWG as on 22.09.2025_p1_c3
2025-09-29,Gujarat,Reported Statistic,"Rice : About 441.58 lakh ha (109.5% of Normal) area coverage under Kharif Rice as compared to 435.68 lakh ha during the corresponding period of last year.
- Maize : About 94.95 lakh ha (120.3% of Normal) area coverage under Maize has been reported as compared to 84.30 lakh ha during the corresponding period of last year.
- Moong : About 34.84 lakh ha (97.6% of Normal) area coverage under Moong as compared to 34.96 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 29.09.2025_p1_c3
2025-09-29,Maharashtra,Reported Statistic,- Soybean : About 120.45 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported as compared to 129.55 lakh ha during the corresponding period of last year. Soyabean area diverted in Maize in MP and Maharashtra.,Minutes of the meeting of CWWG as on 29.09.2025_p1_c4
2025-10-06,Maharashtra,Reported Statistic,"Rice : About 441.58 lakh ha (109.5% of Normal) area coverage under Kharif Rice as compared to 435.68 lakh ha during the corresponding period of last year.
- Maize : About 94.95 lakh ha (120.3% of Normal) area coverage under Maize has been reported as compared to 84.30 lakh ha during the corresponding period of last year.
- Moong : About 34.87 lakh ha (97.6% of Normal) area coverage under Moong as compared to 34.96 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c3
2025-10-06,Maharashtra,Reported Statistic,- Soybean : About 120.45 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported as compared to 129.55 lakh ha during the corresponding period of last year. Soyabean area diverted in Maize in MP and Maharashtra.,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c4
2025-10-13,Odisha,Reported Statistic,"Rice : About 441.58 lakh ha (109.5% of Normal) area coverage under Kharif Rice as compared to 435.68 lakh ha during the corresponding period of last year.
- Maize : About 94.95 lakh ha (120.3% of Normal) area coverage under Maize has been reported as compared to 84.30 lakh ha during the corresponding period of last year.
- Moong : About 34.87 lakh ha (97.6% of Normal) area coverage under Moong as compared to 34.96 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 13.10.2025_p1_c2
2025-10-13,Maharashtra,Reported Statistic,- Soybean : About 120.45 lakh ha (94.7% of Normal) area coverage under Soyabean has been reported as compared to 129.55 lakh ha during the corresponding period of last year. Soyabean area diverted in Maize in MP and Maharashtra.,Minutes of the meeting of CWWG as on 13.10.2025_p1_c3
