Date,Observation,Evidence
2025-09-15,Area Coverage,Minutes of the meeting of CWWG as on 15.09.2025_p1_c1
2025-09-15,Area Coverage,Minutes of the meeting of CWWG as on 15.09.2025_p1_c2
2025-09-22,Area Coverage,Minutes of the meeting of CWWG as on 22.09.2025_p1_c2
2025-09-22,Area Coverage,Minutes of the meeting of CWWG as on 22.09.2025_p1_c3
2025-09-29,Area Coverage,Minutes of the meeting of CWWG as on 29.09.2025_p1_c3
2025-09-29,Area Coverage,Minutes of the meeting of CWWG as on 29.09.2025_p1_c4
2025-10-06,Area Coverage,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c3
2025-10-06,Area Coverage,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c4
2025-10-13,Area Coverage,Minutes of the meeting of CWWG as on 13.10.2025_p1_c2
2025-10-13,Area Coverage,Minutes of the meeting of CWWG as on 13.10.2025_p1_c3
2026-03-30,Harvesting Stage | Harvest: | h         | Other Pulses $             |                5.46 |                   5.30 |              86.00 | Harvesting is going on in a full swing.                                                                                                                                                             |,Minutes of the meeting of CWWG as on 30.03.2026_p1_c46
2026-03-30,"Harvesting Stage | Harvest: | 4         | Shri Anna & Coarse cereals |               55.33 |                  60.93 |              38.31 | Overall around 38% area has been harvested mainly in Jowar (54%), Maize (30%), Barley (16%), etc has already been harvested.                                                                        |",Minutes of the meeting of CWWG as on 30.03.2026_p1_c47
2026-03-30,Harvesting Stage | Maize In Telangana Has 82% Harvested observed | Harvest: Maize in Telangana has 82% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c53
2026-03-30,Harvesting Stage | Maize In Tamil Nadu Has 55% Harvested observed | Harvest: Maize in Tamil Nadu has 55% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c54
2026-03-30,Harvesting Stage | Maize In Karnataka Has 60% Harvested observed | Harvest: Maize in Karnataka has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c55
2026-03-30,Harvesting Stage | Maize In Maharashtra Has 21% Harvested observed | Harvest: Maize in Maharashtra has 21% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c56
2026-03-30,Harvesting Stage | Maize In Gujarat Has 35% Harvested observed | Harvest: Maize in Gujarat has 35% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c57
2026-03-30,Harvesting Stage | Maize In Andhra Pradesh Has 13% Harvested observed | Harvest: Maize in Andhra Pradesh has 13% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c58
2026-03-30,Harvesting Stage | Maize In West Bengal Has 15% Harvested observed | Harvest: Maize in West Bengal has 15% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c59
2026-03-30,Harvesting Stage | Maize In Uttar Pradesh Has 10% Harvested observed | Harvest: Maize in Uttar Pradesh has 10% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c60
2026-03-30,Harvesting Stage | Maize In Maharashtra Has 9% Harvested observed | Harvest: Maize in Maharashtra has 9% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c61
2026-03-30,Harvesting Stage | Maize In Rajasthan Has 21% Harvested observed | Harvest: Maize in Rajasthan has 21% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c62
2026-03-30,Harvesting Stage | Maize In Madhya Pradesh Has 7% Harvested observed | Harvest: Maize in Madhya Pradesh has 7% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c63
2026-04-06,Harvesting Stage | Harvest: | h                                                             | Other Pulses $                                                | 5.46                                                          | 5.30                                                          | 93.00                                                         | Harvesting is going on in a full swing.                                                                                                                                                               |,Minutes of the meeting of CWWG as on 06.04.2026_p1_c46
2026-04-06,"Harvesting Stage | Harvest: | 4                                                             | Shri Anna & Coarse cereals                                    | 55.33                                                         | 60.93                                                         | 43.57                                                         | Overall around 44% area has been harvested mainly in Jowar (59%), Maize (36%), Barley (20%), etc has already been harvested.                                                                          |",Minutes of the meeting of CWWG as on 06.04.2026_p1_c47
2026-04-06,Harvesting Stage | Maize In Telangana Has 87% Harvested observed | Harvest: Maize in Telangana has 87% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c53
2026-04-06,Harvesting Stage | Maize In Tamil Nadu Has 65% Harvested observed | Harvest: Maize in Tamil Nadu has 65% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c54
2026-04-06,Harvesting Stage | Maize In Karnataka Has 67% Harvested observed | Harvest: Maize in Karnataka has 67% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c55
2026-04-06,Harvesting Stage | Maize In Maharashtra Has 27% Harvested observed | Harvest: Maize in Maharashtra has 27% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c56
2026-04-06,Harvesting Stage | Maize In Gujarat Has 39% Harvested observed | Harvest: Maize in Gujarat has 39% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c57
2026-04-06,Harvesting Stage | Maize In Bihar Has 22% Harvested observed | Harvest: Maize in Bihar has 22% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c58
2026-04-06,Harvesting Stage | Maize In Andhra Pradesh Has 15% Harvested observed | Harvest: Maize in Andhra Pradesh has 15% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c59
2026-04-06,Harvesting Stage | Maize In West Bengal Has 25% Harvested observed | Harvest: Maize in West Bengal has 25% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c60
2026-04-06,Harvesting Stage | Maize In Uttar Pradesh Has 12% Harvested observed | Harvest: Maize in Uttar Pradesh has 12% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c61
2026-04-06,Harvesting Stage | Maize In Maharashtra Has 15% Harvested observed | Harvest: Maize in Maharashtra has 15% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c62
2026-04-06,Harvesting Stage | Maize In Rajasthan Has 25% Harvested observed | Harvest: Maize in Rajasthan has 25% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c63
2026-04-06,Harvesting Stage | Maize In Madhya Pradesh Has 13% Harvested observed | Harvest: Maize in Madhya Pradesh has 13% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c64
2026-04-13,Harvesting Stage | Harvest: | h        | Other Pulses $             |               16.73 |                          20.57 |              95.00 | Harvesting is going on in a full swing.                                                                                                                                                                             |,Minutes of the meeting of CWWG as on 13.04.2026_p1_c39
2026-04-13,"Harvesting Stage | Harvest: | 4        | Shri Anna & Coarse cereals |               55.33 |                          60.93 |              71.52 | Overall around 72% area has been harvested mainly in Jowar (84%), Maize (64%), Barley (67%), etc has already been harvested.                                                                                        |",Minutes of the meeting of CWWG as on 13.04.2026_p1_c40
2026-04-13,Harvesting Stage | Maize In Telangana Has 92% Harvested observed | Harvest: Maize in Telangana has 92% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c46
2026-04-13,Harvesting Stage | Maize In Tamil Nadu Has 92% Harvested observed | Harvest: Maize in Tamil Nadu has 92% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c47
2026-04-13,Harvesting Stage | Maize In Karnataka Has 75% Harvested observed | Harvest: Maize in Karnataka has 75% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c48
2026-04-13,Harvesting Stage | Maize In Maharashtra Has 85% Harvested observed | Harvest: Maize in Maharashtra has 85% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c49
2026-04-13,Harvesting Stage | Maize In Gujarat Has 75% Harvested observed | Harvest: Maize in Gujarat has 75% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c50
2026-04-13,Harvesting Stage | Maize In Bihar Has 45% Harvested observed | Harvest: Maize in Bihar has 45% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c51
2026-04-13,Harvesting Stage | Maize In Andhra Pradesh Has 25% Harvested observed | Harvest: Maize in Andhra Pradesh has 25% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c52
2026-04-13,Harvesting Stage | Maize In West Bengal Has 55% Harvested observed | Harvest: Maize in West Bengal has 55% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c53
2026-04-13,Harvesting Stage | Maize In Uttar Pradesh Has 55% Harvested observed | Harvest: Maize in Uttar Pradesh has 55% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c54
2026-04-13,Harvesting Stage | Maize In Maharashtra Has 87% Harvested observed | Harvest: Maize in Maharashtra has 87% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c55
2026-04-13,Harvesting Stage | Maize In Rajasthan Has 53% Harvested observed | Harvest: Maize in Rajasthan has 53% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c56
2026-04-13,Harvesting Stage | Maize In Madhya Pradesh Has 49% Harvested observed | Harvest: Maize in Madhya Pradesh has 49% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c57
2026-04-20,Harvesting Stage | Harvest: | h        | Other Pulses $             | 16.73               |                           20.57 |              99.00 | Harvesting has been almost completed.                                                                                                                                                      |,Minutes of the meeting of CWWG as on 20.04.2026_p1_c38
2026-04-20,"Harvesting Stage | Harvest: | 4        | Shri Anna & Coarse cereals | 55.33               |                           60.93 |              81.58 | Overall around 82% area has been harvested mainly in Jowar (91%), Maize (73%), Barley (84%), etc has already been harvested.                                                               |",Minutes of the meeting of CWWG as on 20.04.2026_p1_c39
2026-04-20,Harvesting Stage | Maize In Telangana Has 94% Harvested observed | Harvest: Maize in Telangana has 94% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c46
2026-04-20,Harvesting Stage | Maize In Tamil Nadu Has 97% Harvested observed | Harvest: Maize in Tamil Nadu has 97% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c47
2026-04-20,Harvesting Stage | Maize In Karnataka Has 85% Harvested observed | Harvest: Maize in Karnataka has 85% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c48
2026-04-20,Harvesting Stage | Maize In Maharashtra Has 98% Harvested observed | Harvest: Maize in Maharashtra has 98% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c49
2026-04-20,Harvesting Stage | Maize In Gujarat Has 85% Harvested observed | Harvest: Maize in Gujarat has 85% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c50
2026-04-20,Harvesting Stage | Maize In Bihar Has 53% Harvested observed | Harvest: Maize in Bihar has 53% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c51
2026-04-20,Harvesting Stage | Maize In Andhra Pradesh Has 43% Harvested observed | Harvest: Maize in Andhra Pradesh has 43% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c52
2026-04-20,Harvesting Stage | Maize In West Bengal Has 60% Harvested observed | Harvest: Maize in West Bengal has 60% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c53
2026-04-20,Harvesting Stage | Maize In Uttar Pradesh Has 75% Harvested observed | Harvest: Maize in Uttar Pradesh has 75% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c54
2026-04-20,Harvesting Stage | Maize In Maharashtra Has 95% Harvested observed | Harvest: Maize in Maharashtra has 95% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c55
2026-04-20,Harvesting Stage | Maize In Rajasthan Has 90% Harvested observed | Harvest: Maize in Rajasthan has 90% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c56
2026-04-20,Harvesting Stage | Maize In Madhya Pradesh Has 77% Harvested observed | Harvest: Maize in Madhya Pradesh has 77% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c57
2026-04-27,Harvesting Stage | Harvest: | h        | Other Pulses $             |               16.73 |                          20.57 |             100.00 | Harvesting has been almost completed.                                                                                                                                                     |,Minutes of the meeting of CWWG as on 27.04.2026_p1_c39
2026-04-27,"Harvesting Stage | Harvest: | 4        | Shri Anna & Coarse cereals |               55.33 |                          60.93 |              92.43 | Overall around 82% area has been harvested mainly in Jowar (91%), Maize (73%), Barley (84%), etc has already been harvested.                                                              |",Minutes of the meeting of CWWG as on 27.04.2026_p1_c40
2026-04-27,Harvesting Stage | Maize Is 100% Harvested In Maharashtra observed | Harvest: Maize is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c47
2026-04-27,Harvesting Stage | Maize Is 100% Harvested In Gujarat observed | Harvest: Maize is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c48
2026-04-27,Harvesting Stage | Maize Is 100% Harvested In Telangana observed | Harvest: Maize is 100% harvested in Telangana.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c49
2026-04-27,Harvesting Stage | Maize In Andhra Pradesh Has 59% Harvested observed | Harvest: Maize in Andhra Pradesh has 59% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c50
2026-04-27,Harvesting Stage | Maize In Bihar Has 85% Harvested observed | Harvest: Maize in Bihar has 85% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c51
2026-04-27,Harvesting Stage | Maize In Chhattisgarh Has 89% Harvested observed | Harvest: Maize in Chhattisgarh has 89% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c52
