Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Mustard,Madhya Pradesh,Other,,,,,,,,,,,----- -------------------- --------- --------- --------- ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c65,0.7,VERIFIED,rule_based
2026-03-30,,Mustard,Karnataka,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Karnataka.,Mustard Is 100% Harvested In Karnataka,,,,,,Mustard is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c66,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Bihar,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Bihar.,Mustard Is 100% Harvested In Bihar,,,,,,Mustard is 100% harvested in Bihar.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c67,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Assam,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Assam.,Mustard Is 100% Harvested In Assam,,,,,,Mustard is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c68,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Telangana,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Telangana.,Mustard Is 100% Harvested In Telangana,,,,,,Mustard is 100% harvested in Telangana.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c69,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Rajasthan,Pest Incidence,Harvesting,,,Mustard in Rajasthan has 80% harvested.,Mustard In Rajasthan Has 80% Harvested,,,,,,Mustard in Rajasthan has 80% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c70,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Uttar Pradesh,Pest Incidence,Harvesting,,,Mustard in Uttar Pradesh has 60% harvested.,Mustard In Uttar Pradesh Has 60% Harvested,,,,,,Mustard in Uttar Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c71,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Madhya Pradesh,Pest Incidence,Harvesting,,,Mustard in Madhya Pradesh has 70% harvested.,Mustard In Madhya Pradesh Has 70% Harvested,,,,,,Mustard in Madhya Pradesh has 70% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c72,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,West Bengal,Pest Incidence,Harvesting,,,Mustard in West Bengal has 92% harvested.,Mustard In West Bengal Has 92% Harvested,,,,,,Mustard in West Bengal has 92% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c73,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Gujarat,Pest Incidence,Harvesting,,,Mustard in Gujarat has 85% harvested.,Mustard In Gujarat Has 85% Harvested,,,,,,Mustard in Gujarat has 85% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c74,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Haryana,Pest Incidence,Harvesting,,,Mustard in Haryana has 80% harvested.,Mustard In Haryana Has 80% Harvested,,,,,,Mustard in Haryana has 80% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c75,0.9,VERIFIED,rule_based
2026-03-30,,Mustard,Jharkhand,Pest Incidence,Harvesting,,,Mustard in Jharkhand has 60% harvested.,Mustard In Jharkhand Has 60% Harvested,,,,,,Mustard in Jharkhand has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c76,0.9,VERIFIED,rule_based
2026-04-06,,Mustard,Karnataka,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Karnataka.,Mustard Is 100% Harvested In Karnataka,,,,,,Mustard is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c66,0.9,VERIFIED,rule_based
2026-04-06,,Mustard,Gujarat,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Gujarat.,Mustard Is 100% Harvested In Gujarat,,,,,,Mustard is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c67,0.9,VERIFIED,rule_based
2026-04-06,,Mustard,Punjab,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Punjab.,Mustard Is 100% Harvested In Punjab,,,,,,Mustard is 100% harvested in Punjab.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c68,0.9,VERIFIED,rule_based
2026-04-06,,Mustard,Haryana,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Haryana.,Mustard Is 100% Harvested In Haryana,,,,,,Mustard is 100% harvested in Haryana.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c69,0.9,VERIFIED,rule_based
2026-04-06,,Mustard,Rajasthan,Pest Incidence,Harvesting,,,Mustard is 100% harvested in Rajasthan.,Mustard Is 100% Harvested In Rajasthan,,,,,,Mustard is 100% harvested in Rajasthan.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c70,0.9,VERIFIED,rule_based
