Date,Observation,Evidence
2026-03-30,Other,Minutes of the meeting of CWWG as on 30.03.2026_p1_c65
2026-03-30,Harvesting Stage | Mustard Is 100% Harvested In Karnataka observed | Harvest: Mustard is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c66
2026-03-30,Harvesting Stage | Mustard Is 100% Harvested In Bihar observed | Harvest: Mustard is 100% harvested in Bihar.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c67
2026-03-30,Harvesting Stage | Mustard Is 100% Harvested In Assam observed | Harvest: Mustard is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c68
2026-03-30,Harvesting Stage | Mustard Is 100% Harvested In Telangana observed | Harvest: Mustard is 100% harvested in Telangana.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c69
2026-03-30,Harvesting Stage | Mustard In Rajasthan Has 80% Harvested observed | Harvest: Mustard in Rajasthan has 80% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c70
2026-03-30,Harvesting Stage | Mustard In Uttar Pradesh Has 60% Harvested observed | Harvest: Mustard in Uttar Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c71
2026-03-30,Harvesting Stage | Mustard In Madhya Pradesh Has 70% Harvested observed | Harvest: Mustard in Madhya Pradesh has 70% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c72
2026-03-30,Harvesting Stage | Mustard In West Bengal Has 92% Harvested observed | Harvest: Mustard in West Bengal has 92% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c73
2026-03-30,Harvesting Stage | Mustard In Gujarat Has 85% Harvested observed | Harvest: Mustard in Gujarat has 85% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c74
2026-03-30,Harvesting Stage | Mustard In Haryana Has 80% Harvested observed | Harvest: Mustard in Haryana has 80% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c75
2026-03-30,Harvesting Stage | Mustard In Jharkhand Has 60% Harvested observed | Harvest: Mustard in Jharkhand has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c76
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Karnataka observed | Harvest: Mustard is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c66
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Gujarat observed | Harvest: Mustard is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c67
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Punjab observed | Harvest: Mustard is 100% harvested in Punjab.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c68
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Haryana observed | Harvest: Mustard is 100% harvested in Haryana.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c69
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Rajasthan observed | Harvest: Mustard is 100% harvested in Rajasthan.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c70
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In West Bengal observed | Harvest: Mustard is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c71
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Bihar observed | Harvest: Mustard is 100% harvested in Bihar.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c72
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Madhya Pradesh observed | Harvest: Mustard is 100% harvested in Madhya Pradesh.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c73
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Jharkhand observed | Harvest: Mustard is 100% harvested in Jharkhand.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c74
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Assam observed | Harvest: Mustard is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c75
2026-04-06,Harvesting Stage | Mustard Is 100% Harvested In Telangana observed | Harvest: Mustard is 100% harvested in Telangana.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c76
2026-04-06,Harvesting Stage | Mustard In Uttar Pradesh Has 90% Harvested observed | Harvest: Mustard in Uttar Pradesh has 90% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c77
2026-04-06,Harvesting Stage | Mustard In Andhra Pradesh Has 62% Harvested observed | Harvest: Mustard in Andhra Pradesh has 62% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c78
2026-04-06,Harvesting Stage | Mustard In Chhattisgarh Has 88% Harvested observed | Harvest: Mustard in Chhattisgarh has 88% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c79
2026-04-13,Harvesting Stage | Mustard Is 100% Harvested In Andhra Pradesh observed | Harvest: Mustard is 100% harvested in Andhra Pradesh.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c59
