Date,State,Parameter,Value,Chunk ID
2025-12-22,All India,Reported Statistic," Wheat: About 301.63 lakh ha (96.5% of normal) area coverage under Wheat has been reported as compared to 300.34 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 87.80 (111% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 91.70 (91% of normal) lakh ha area coverage under Gram has been reported as compared to 86.81 lakh ha during the corresponding period of last year.
Progress of area coverage under Rabi crops as on 19.12.2025 (Area in lakh hactare) -------- ---------------------------- ------------------------ ------------------------- --------------------- ---------------------------------------- --------------------------------------------------------------- 1 Wheat 312.35 328.04 301.63 300.34 1.29 2 Rice * 42.93 44.73 13.35 11.52 1.83 3 Pulses 140.42 134.08 126.74 123.02 3.72 a Gram 100.99 91.22 91.70 86.81 4.89 b Lentil 15.13 16.99 15.76 15.83 0.08 c Fieldpea $ 6.50 7.92 8.27 0.35 d Kulthi $ 1.98 1.73 1.99 0.26 e Urdbean * 6.16 6.18 3.13 3.48 0.34 f Moongbean* 1.41 1.36 0.42 0.43 0.01 g Lathyrus $ 2.79 2.70 2.77 0.07 h Other Pulses $ 5.46 18.33 3.37 3.44 0.07 4 Shri Anna & Coarse Cereals 55.33 59.05 45.66 45.05 0.61 a Jowar * 24.62 25.17 19.62 21.39 1.78 b Bajra # 0.59 0.11 0.11 0.00 c Ragi # 0.72 0.68 0.48 0.21 d Small Millets # 0.16 0.13 0.10 0.03 e Maize * 23.61 27.80 18.34 16.90 1.45 f Barley 5.63 6.08 6.78 6.08 0.70 5 Oilseeds 86.78 93.49 93.33 92.65 0.67 a Rapeseed & Mustard 79.17 86.57 87.80 86.57 1.23 ----- ---------------------- --------- --------- --------- --------- -------- b Groundnut * 3.69 3.37 2.36 2.83 0.47 c Safflower 0.72 0.64 0.79 0.60 0.18 d Sunflower * 0.79 0.81 0.39 0.34 0.06 e Sesamum * 0.48 0.41 0.06 0.07 0.01 f Linseed 1.93 1.69 1.61 2.00 0.39 g Other Oilseeds 0.00 0.32 0.24 0.08 Total Crops 637.81 659.39 580.70 572.59 8.12 Note: *Average of 2022-23 to 2024-25, $ average (2016-17 to 2020-21) as per DES, # Average of (2018-19 to 2022-23) as per CWWG report.",Minutes of the meeting of CWWG as on 22.12.2025_p1_c1
2025-12-29,Odisha,Reported Statistic,Progress of area coverage under Rabi crops as on 26.12.2025 -------- ---------------------------- --------------- ------------------------- ------------------------- ------------------------------ --------------------------------------------------------------- 1 Wheat 312.35 328.04 322.68 322.49 0.19 2 Rice * 42.93 44.73 14.90 13.01 1.89 3 Pulses 140.42 134.08 133.44 129.79 3.65 a Gram 100.99 91.22 95.88 91.22 4.66 b Lentil 15.13 16.99 17.06 16.85 0.21 c Fieldpea $ 6.50 7.92 8.27 0.35 d Kulthi $ 1.98 1.84 2.38 0.54 e Urdbean * 6.16 6.18 3.63 3.86 0.23 f Moongbean* 1.41 1.36 0.52 0.50 0.02 g Lathyrus $ 2.79 2.82 2.84 0.02 h Other Pulses $ 5.46 18.33 3.76 3.86 0.11 4 Shri Anna & Coarse Cereals 55.33 59.05 49.00 48.89 0.10 a Jowar * 24.62 25.17 20.38 22.00 1.62 b Bajra # 0.59 0.11 0.12 0.01 c Ragi # 0.72 0.69 0.49 0.20 d Small Millets # 0.16 0.13 0.09 0.03 e Maize * 23.61 27.80 20.92 20.12 0.80 f Barley 5.63 6.08 6.78 6.08 0.70 5 Oilseeds 86.78 93.49 94.29 93.25 1.04,Minutes of the meeting of CWWG as on 29.12.2025_p1_c3
2026-01-05,Odisha,Reported Statistic,"Progress of area coverage under Rabi crops as on 02.01.2026 ------------------------------ ------------------------------ ------------------------ ------------------------- ------------------------- ------------------------------ --------------------------------------------------------------- 1 Wheat 312.35 328.04 334.17 328.04 6.13 2 Rice * 42.93 44.73 17.57 14.90 2.67 3 Pulses 140.42 134.08 134.30 130.87 3.44 a Gram 100.99 91.22 95.88 91.22 4.66 b Lentil 15.13 16.99 17.06 16.85 0.21 c Fieldpea $ 6.50 7.92 8.27 0.35 d Kulthi $ 1.98 1.90 2.41 0.52 e Urdbean * 6.16 6.18 3.98 4.27 0.29 f Moongbean* 1.41 1.36 0.60 0.59 0.01 g Lathyrus $ 2.79 2.87 2.92 0.05 h Other Pulses $ 5.46 18.33 4.10 4.34 0.24 4 Shri Anna & Coarse Cereals 4 Shri Anna & Coarse Cereals 55.33 59.05 51.79 50.66 1.13 a Jowar * 24.62 25.17 20.74 22.00 1.26 b Bajra # 0.59 0.12 0.12 0.00 c Ragi # 0.72 0.70 0.51 0.20 d Small Millets # 0.16 0.13 0.10 0.04 e Maize * 23.61 27.80 23.32 21.87 1.45 f Barley 5.63 6.08 6.78 6.08 0.70 ----- -------------------- -------- -------- -------- -------- -------- 5 Oilseeds 86.78 93.49 96.30 93.27 3.04 a Rapeseed & Mustard 79.17 86.57 89.36 86.57 2.79 b Groundnut * 3.69 3.37 3.13 3.37 0.25 c Safflower 0.72 0.64 0.86 0.64 0.22 d Sunflower * 0.79 0.81 0.47 0.47 0.00 e Sesamum * 0.48 0.41 0.12 0.14 0.02 f Linseed 1.93 1.69 1.99 1.76 0.23 g Other Oilseeds 0.00 0.38 0.31 0.07 Total Crops 637.81 659.39 634.14 617.74 16.40 Note: *Average of 2022-23 to 2024-25, $ average (2016-17 to 2020-21) as per DES, # Average of (2018-19 to 2022-23) as per CWWG report.",Minutes of the meeting of CWWG as on 05.01.2026_p1_c3
2026-01-12,Punjab,Reported Statistic," Wheat: About 334.17 lakh ha (107% of normal) area coverage under Wheat has been reported as compared to 328.04 lakh ha during the corresponding period of last year.
-
Rapeseed &amp; Mustard : About 89.36 (113% of normal) lakh ha area coverage under Rapeseed &amp; Mustard has been reported as compared to 86.57 lakh ha during the corresponding period of last year.
-
Gram: About 95.88 (95% of normal) lakh ha area coverage under Gram has been reported as compared to 91.22 lakh ha during the corresponding period of last year. (Area in lakh hactare) -------- ---------------------------- ------------------ -------------------------- ----------------------- ------------------------------ --------------------------------------------------------------- (DES) 2025-26 Corrosponding period 2024-25 1 Wheat 312.35 328.04 334.17 328.04 6.13 2 Rice * 42.93 44.73 21.71 19.49 2.22 3 Pulses 140.42 134.08 136.36 132.61 3.74 a Gram 100.99 91.22 95.88 91.22 4.66 b Lentil 15.13 16.99 18.12 17.66 0.45 c Fieldpea $ 6.50 7.92 8.27 0.35 d Kulthi $ 1.98 1.98 2.41 0.43 e Urdbean * 6.16 6.18 4.37 4.70 0.33 f Moongbean * 1.41 1.36 0.74 0.76 0.02 g Lathyrus $ 2.79 2.98 2.92 0.06 h Other Pulses $ 5.46 18.33 4.37 4.67 0.30 4 Shri Anna & Coarse cereals 55.33 59.05 55.20 53.17 2.03 a Jowar * 24.62 25.17 21.36 22.66 1.30 b Bajra # 0.59 0.15 0.14 0.00 c Ragi # 0.72 0.97 0.70 0.27 d Small Millets # 0.16 0.13 0.10 0.03 e Maize * 23.61 27.80 25.24 23.49 1.75 ----- -------------------- --------- --------- --------- --------- -------- f Barley 5.63 6.08 7.36 6.08 1.28 5 Oilseeds 86.78 93.49 96.86 93.33 3.53 a Rapeseed & Mustard 79.17 86.57 89.36 86.57 2.79 b Groundnut * 3.69 3.37 3.52 3.37 0.15 c Safflower 0.72 0.64 0.89 0.67 0.22 d Sunflower * 0.79 0.81 0.55 0.42 0.14 e Sesamum * 0.48 0.41 0.14 0.19 0.04 f Linseed 1.93 1.69 1.99 1.76 0.23 g Other Oilseeds 0.00 0.40 0.35 0.05 Total Crops 637.81 659.39 644.29 626.64 17.65",Minutes of the meeting of CWWG as on 12.01.2026_p1_c4
2026-01-27,Punjab,Reported Statistic,"Progress of area coverage under Rabi crops as on 23.01.2026 ------------------------------ ------------------------------ --------------- ---------------------------- ------------------------- ------------------------------ -------------------------------------------------- S. No. Crops Area (DES) Final Rabi Area 2024- 25 2025-26 Corresponding period 2024-25 corresponding period 2024-25 1 Wheat 312.35 328.04 334.17 328.04 6.13 2 Rice * 42.93 44.73 31.03 29.23 1.80 3 Pulses 140.42 134.08 137.55 133.94 3.61 a Gram 100.99 91.22 95.88 91.22 4.66 b Lentil 15.13 16.99 18.12 17.66 0.45 c Fieldpea $ 6.50 7.92 8.27 0.35 d Kulthi $ 1.98 1.98 2.41 0.43 e Urdbean * 6.16 6.18 4.81 5.25 0.44 f Moongbean* 1.41 1.36 0.90 0.95 0.04 g Lathyrus $ 2.79 2.98 2.92 0.06 h Other Pulses $ 5.46 18.33 4.95 5.25 0.30 4 Shri Anna & Coarse Cereals 4 Shri Anna & Coarse Cereals 55.33 59.05 60.70 57.45 3.25 a Jowar * 24.62 25.17 23.01 24.22 1.21 b Bajra # 0.59 0.16 0.14 0.02 c Ragi # 0.72 0.97 0.70 0.27 d Small Millets # 0.16 0.13 0.10 0.03 e Maize * 23.61 27.80 29.05 26.21 2.84 f Barley 5.63 6.08 7.37 6.08 1.29 ----- -------------------- -------- -------- -------- -------- -------- 5 Oilseeds 86.78 93.49 97.03 93.58 3.45 a Rapeseed & Mustard 79.17 86.57 89.36 86.57 2.79 b Groundnut * 3.69 3.37 3.52 3.37 0.15 c Safflower 0.72 0.64 0.89 0.67 0.22 d Sunflower * 0.79 0.81 0.64 0.53 0.12 e Sesamum * 0.48 0.41 0.22 0.33 0.10 f Linseed 1.93 1.69 1.99 1.76 0.23 g Other Oilseeds 0.00 0.40 0.35 0.05 Total Crops 637.81 659.39 660.48 642.24 18.24 Note: *Average of 2022-23 to 2024-25, $ average (2016-17 to 2020-21) as per DES, # Average of (2018-19 to 2022-23) as per CWWG report.",Minutes of the meeting of CWWG as on 27.01.2026_p1_c4
2026-02-16,Karnataka,Reported Statistic," Rice: About 12.80 lakh ha area coverage under Summer Rice has been reported as compared to 13.16 lakh ha during the corresponding period of last year.
-
Pulses: About 0.58 lakh ha area coverage has been reported compared to 0.50 lakh ha during the corresponding period of last year.
-
Oilseeds: About 0.99 lakh ha area coverage has been reported compared to 0.59 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 16.02.2026_p1_c3
2026-02-23,All India,Reported Statistic," Rice: About 17.78 lakh ha area coverage under Summer Rice has been reported as compared to 17.78 lakh ha during the corresponding period of last year.
-
Pulses: About 0.91 lakh ha area coverage has been reported compared to 0.76 lakh ha during the corresponding period of last year.
-
Oilseeds: About 1.24 lakh ha area coverage has been reported compared to 0.77 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 23.02.2026_p1_c1
2026-03-02,Karnataka,Reported Statistic," Rice: About 21.80 lakh ha area coverage under Summer Rice has been reported as compared to 23.45 lakh ha during the corresponding period of last year.
-
Pulses: About 1.15 lakh ha area coverage has been reported compared to 1.03 lakh ha during the corresponding period of last year.
-
Oilseeds: About 1.69 lakh ha area coverage has been reported compared to 1.26 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 02.03.2026_p1_c6
2026-03-09,All India,Reported Statistic," Rice: About 21.80 lakh ha area coverage under Summer Rice has been reported as compared to 23.45 lakh ha during the corresponding period of last year.
-
Pulses: About 1.15 lakh ha area coverage has been reported compared to 1.03 lakh ha during the corresponding period of last year.
-
Oilseeds: About 1.69 lakh ha area coverage has been reported compared to 1.26 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 09.03.2026_p1_c1
2026-03-16,Odisha,Reported Statistic," Rice: About 21.80 lakh ha area coverage under Summer Rice has been reported as compared to 23.45 lakh ha during the corresponding period of last year.
-
Pulses: About 1.15 lakh ha area coverage has been reported compared to 1.03 lakh ha during the corresponding period of last year.
-
Oilseeds: About 1.69 lakh ha area coverage has been reported compared to 1.26 lakh ha during the corresponding period of last year.",Minutes of the meeting of CWWG as on 16.03.2026_p1_c3
