Date,Observation,Evidence
2025-11-17,Other,Minutes of the meeting of CWWG as on 17.11.2025_p1_c3
2025-12-01,Other,Minutes of the meeting of CWWG as on 01.12.2025_p1_c5
2025-12-08,Other,Minutes of the meeting of CWWG as on 08.12.2025_p1_c4
2025-12-08,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 08.12.2025_p1_c5
2025-12-15,Other,Minutes of the meeting of CWWG as on 15.12.2025_p1_c4
2025-12-15,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 15.12.2025_p1_c5
2025-12-22,Area Coverage,Minutes of the meeting of CWWG as on 22.12.2025_p1_c1
2025-12-22,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 22.12.2025_p1_c2
2025-12-29,Area Coverage,Minutes of the meeting of CWWG as on 29.12.2025_p1_c3
2025-12-29,Other,Minutes of the meeting of CWWG as on 29.12.2025_p1_c4
2025-12-29,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 29.12.2025_p1_c5
2026-01-05,Area Coverage,Minutes of the meeting of CWWG as on 05.01.2026_p1_c3
2026-01-05,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 05.01.2026_p1_c4
2026-01-12,Area Coverage,Minutes of the meeting of CWWG as on 12.01.2026_p1_c4
2026-01-12,There Is No Major Pest Incidence That Has Been Reported. The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level observed,Minutes of the meeting of CWWG as on 12.01.2026_p1_c5
2026-01-27,Area Coverage,Minutes of the meeting of CWWG as on 27.01.2026_p1_c4
