Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2025-09-15,,Rice,Maharashtra,Area Coverage,,,,,,,,,,- Sugarcane : About 57.31 lakh ha area coverage under Sugarcane has been reported as compared to 55.68 lakh ha during the corresponding period of last year.,- Sugarcane : About 57.31 lakh ha area coverage under Sugarcane has been reported as compared to 55.68 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 15.09.2025.pdf,1,Minutes of the meeting of CWWG as on 15.09.2025_p1_c3,0.7,VERIFIED,rule_based
2025-09-15,,Rice,Gujarat,Area Coverage,,,,,,,,,,- Cotton : About 109.64 lakh ha (84.7% of Normal) area coverage has been reported compared to 112.48 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,- Cotton : About 109.64 lakh ha (84.7% of Normal) area coverage has been reported compared to 112.48 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 15.09.2025.pdf,1,Minutes of the meeting of CWWG as on 15.09.2025_p1_c4,0.7,VERIFIED,rule_based
2025-09-22,,Rice,Maharashtra,Area Coverage,,,,,,,,,,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 22.09.2025.pdf,1,Minutes of the meeting of CWWG as on 22.09.2025_p1_c4,0.7,VERIFIED,rule_based
2025-09-22,,Rice,Gujarat,Area Coverage,,,,,,,,,,- Cotton : About 109.90 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.76 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,- Cotton : About 109.90 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.76 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 22.09.2025.pdf,1,Minutes of the meeting of CWWG as on 22.09.2025_p1_c5,0.7,VERIFIED,rule_based
2025-09-29,,Rice,Maharashtra,Area Coverage,,,,,,,,,,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 29.09.2025.pdf,1,Minutes of the meeting of CWWG as on 29.09.2025_p1_c5,0.7,VERIFIED,rule_based
2025-09-29,,Rice,Gujarat,Area Coverage,,,,,,,,,,"- Cotton : About 109.98 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.95 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut, respectively in Punjab &amp; Haryana and Gujarat.","- Cotton : About 109.98 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.95 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut, respectively in Punjab &amp; Haryana and Gujarat.",Minutes of the meeting of CWWG as on 29.09.2025.pdf,1,Minutes of the meeting of CWWG as on 29.09.2025_p1_c6,0.7,VERIFIED,rule_based
2025-10-06,,Rice,Maharashtra,Area Coverage,,,,,,,,,,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 06.10.2025 ..pdf,1,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c5,0.7,VERIFIED,rule_based
2025-10-06,,Rice,Gujarat,Area Coverage,,,,,,,,,,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 06.10.2025 ..pdf,1,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c6,0.7,VERIFIED,rule_based
2025-10-13,,Rice,Maharashtra,Area Coverage,,,,,,,,,,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 13.10.2025.pdf,1,Minutes of the meeting of CWWG as on 13.10.2025_p1_c4,0.7,VERIFIED,rule_based
2025-10-13,,Rice,Gujarat,Area Coverage,,,,,,,,,,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 13.10.2025.pdf,1,Minutes of the meeting of CWWG as on 13.10.2025_p1_c5,0.7,VERIFIED,rule_based
