Date,State,Parameter,Value,Chunk ID
2025-09-15,Maharashtra,Reported Statistic,- Sugarcane : About 57.31 lakh ha area coverage under Sugarcane has been reported as compared to 55.68 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 15.09.2025_p1_c3
2025-09-15,Gujarat,Reported Statistic,- Cotton : About 109.64 lakh ha (84.7% of Normal) area coverage has been reported compared to 112.48 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 15.09.2025_p1_c4
2025-09-22,Maharashtra,Reported Statistic,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 22.09.2025_p1_c4
2025-09-22,Gujarat,Reported Statistic,- Cotton : About 109.90 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.76 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 22.09.2025_p1_c5
2025-09-29,Maharashtra,Reported Statistic,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 29.09.2025_p1_c5
2025-09-29,Gujarat,Reported Statistic,"- Cotton : About 109.98 lakh ha (84.9% of Normal) area coverage has been reported compared to 112.95 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut, respectively in Punjab &amp; Haryana and Gujarat.",Minutes of the meeting of CWWG as on 29.09.2025_p1_c6
2025-10-06,Maharashtra,Reported Statistic,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c5
2025-10-06,Gujarat,Reported Statistic,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c6
2025-10-13,Maharashtra,Reported Statistic,- Sugarcane : About 59.07 lakh ha area coverage under Sugarcane has been reported as compared to 57.22 lakh ha during the corresponding period of last year.,Minutes of the meeting of CWWG as on 13.10.2025_p1_c4
2025-10-13,Gujarat,Reported Statistic,- Cotton : About 110.03 lakh ha (85% of Normal) area coverage has been reported compared to 112.97 lakh ha during the corresponding period of last year. Cotton area diverted in Paddy and Groundnut respectively in Punjab &amp; Haryana and Gujarat.,Minutes of the meeting of CWWG as on 13.10.2025_p1_c5
