Date,Observation,Evidence
2025-09-15,Area Coverage,Minutes of the meeting of CWWG as on 15.09.2025_p1_c3
2025-09-15,Area Coverage,Minutes of the meeting of CWWG as on 15.09.2025_p1_c4
2025-09-22,Area Coverage,Minutes of the meeting of CWWG as on 22.09.2025_p1_c4
2025-09-22,Area Coverage,Minutes of the meeting of CWWG as on 22.09.2025_p1_c5
2025-09-29,Area Coverage,Minutes of the meeting of CWWG as on 29.09.2025_p1_c5
2025-09-29,Area Coverage,Minutes of the meeting of CWWG as on 29.09.2025_p1_c6
2025-10-06,Area Coverage,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c5
2025-10-06,Area Coverage,Minutes of the meeting of CWWG as on 06.10.2025 ._p1_c6
2025-10-13,Area Coverage,Minutes of the meeting of CWWG as on 13.10.2025_p1_c4
2025-10-13,Area Coverage,Minutes of the meeting of CWWG as on 13.10.2025_p1_c5
2025-11-03,Other,Minutes of the meeting of CWWG as on 03.11.2025_p1_c1
2026-03-30,"Sowing Stage | Sowing: As on March 27, 2026, the area sown under summer crops is 49.87 lakh ha as compared to 52.35 lakh ha during the corresponding period of last year.  Of this, area of 28.50 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 30.03.2026_p1_c1
2026-03-30,"Harvesting Stage | As On 27.03.2026, 32.26% Of Area Has Been Harvested For Rabi Crops All Over India. Approximately 67% Area Of Pulses Mainly In Gram (66%), Urdbean (86%) &Amp; Moong (63%); 71.56% Area Of Oilseeds Majorly In  Rapeseed  &Amp; Mustard (75.53%); 38.31% Area Of Shri Anna Cum Coarse Cereals Majorly In Jowar (54.47%), 25.57% Area Of Rice And 6.00% Area Of Wheat  Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 27.03.2026, 32.26% of area has been harvested for Rabi crops all over India. Approximately 67% area of Pulses mainly in Gram (66%), Urdbean (86%) &amp; Moong (63%); 71.56% area of Oilseeds majorly in  Rapeseed  &amp; Mustard (75.53%); 38.31% area of Shri Anna cum Coarse Cereals majorly in Jowar (54.47%), 25.57% area of Rice and 6.00% area of Wheat  has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 30.03.2026_p1_c2
2026-03-30,Harvesting Stage | Rice In Tamil Nadu Has 83% Harvested observed | Harvest: Rice in Tamil Nadu has 83% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c12
2026-03-30,Harvesting Stage | Rice In Kerala Has 60% Harvested observed | Harvest: Rice in Kerala has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c13
2026-03-30,Harvesting Stage | Rice In Tripura Has 40% Harvested observed | Harvest: Rice in Tripura has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c14
2026-03-30,Harvesting Stage | Rice In Andhra Pradesh Has 6% Harvested observed | Harvest: Rice in Andhra Pradesh has 6% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c15
2026-04-06,"Sowing Stage | Sowing:  As on April 03, 2026, the area sown under summer crops is 58.29 lakh ha as compared to 57.80 lakh ha during the corresponding period of last year.  Of this, area of 30.12 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 06.04.2026_p1_c1
2026-04-06,"Harvesting Stage | As On 27.03.2026, 32.26% Of Area Has Been Harvested For Rabi Crops All Over India. Approximately 67% Area  Of  Pulses  Mainly  In  Gram  (66%),  Urdbean  (86%)  &Amp;  Moong  (63%);  71.56%  Area  Of  Oilseeds Majorly In Rapeseed &Amp; Mustard (75.53%); 38.31% Area Of Shri Anna Cum Coarse Cereals Majorly In Jowar (54.47%), 25.57% Area Of Rice And 6.00% Area Of Wheat  Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 27.03.2026, 32.26% of area has been harvested for Rabi crops all over India. Approximately 67% area  of  Pulses  mainly  in  Gram  (66%),  Urdbean  (86%)  &amp;  Moong  (63%);  71.56%  area  of  Oilseeds majorly in Rapeseed &amp; Mustard (75.53%); 38.31% area of Shri Anna cum Coarse Cereals majorly in Jowar (54.47%), 25.57% area of Rice and 6.00% area of Wheat  has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 06.04.2026_p1_c2
2026-04-06,Harvesting Stage | Rice In Tamil Nadu Has 85% Harvested observed | Harvest: Rice in Tamil Nadu has 85% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c12
2026-04-06,Harvesting Stage | Rice In Kerala Has 80% Harvested observed | Harvest: Rice in Kerala has 80% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c13
2026-04-06,Harvesting Stage | Rice In Tripura Has 50% Harvested observed | Harvest: Rice in Tripura has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c14
2026-04-06,Harvesting Stage | Rice In Andhra Pradesh Has 20% Harvested observed | Harvest: Rice in Andhra Pradesh has 20% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c15
2026-04-13,"Sowing Stage | Sowing:  As on April 10, 2026, the area sown under summer crops is 64.10 lakh ha as compared to 63.33 lakh ha during the corresponding period of last year.  Of this, area of 30.59 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 13.04.2026_p1_c1
2026-04-13,"Harvesting Stage | As On 27.03.2026, 32.26% Of Area Has Been Harvested For Rabi Crops All Over India. Approximately 67% Area  Of  Pulses  Mainly  In  Gram  (66%),  Urdbean  (86%)  &Amp;  Moong  (63%);  71.56%  Area  Of  Oilseeds Majorly In Rapeseed &Amp; Mustard (75.53%); 38.31% Area Of Shri Anna Cum Coarse Cereals Majorly In Jowar (54.47%), 25.57% Area Of Rice And 6.00% Area Of Wheat  Has Been Harvested For Rabi Crops 2025-26 observed | Harvest: As on 27.03.2026, 32.26% of area has been harvested for Rabi crops all over India. Approximately 67% area  of  Pulses  mainly  in  Gram  (66%),  Urdbean  (86%)  &amp;  Moong  (63%);  71.56%  area  of  Oilseeds majorly in Rapeseed &amp; Mustard (75.53%); 38.31% area of Shri Anna cum Coarse Cereals majorly in Jowar (54.47%), 25.57% area of Rice and 6.00% area of Wheat  has been harvested for Rabi crops 2025-26.",Minutes of the meeting of CWWG as on 13.04.2026_p1_c2
2026-04-13,Harvesting Stage | Rice In Tamil Nadu Has 86% Harvested observed | Harvest: Rice in Tamil Nadu has 86% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c11
2026-04-13,Harvesting Stage | Rice In Kerala Has 90% Harvested observed | Harvest: Rice in Kerala has 90% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c12
2026-04-13,Harvesting Stage | Rice In Tripura Has 55% Harvested observed | Harvest: Rice in Tripura has 55% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c13
2026-04-13,Harvesting Stage | Rice In Andhra Pradesh Has 40% Harvested observed | Harvest: Rice in Andhra Pradesh has 40% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c14
2026-04-13,Harvesting Stage | Rice In Telangana Has 15% Harvested observed | Harvest: Rice in Telangana has 15% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c15
2026-04-20,"Sowing Stage | Sowing:  As on April 17, 2026, the area sown under summer crops is 69.06 lakh ha as compared to 66.14 lakh ha during the corresponding period of last year.  Of this, area of 30.64 lakh ha has been sown under Rice this year.
-",Minutes of the meeting of CWWG as on 20.04.2026_p1_c1
2026-04-20,"Harvesting Stage | As On 17.04.2026, 81.69% Of Area Has Been Harvested For Rabi Crops All Over India. Approximately 97% Area  Of  Pulses  Mainly  In  Gram  (98%),  Urdbean  (98%)  &Amp;  Moong  (82%);  98.41%  Area  Of  Oilseeds Majorly  In  Rapeseed  &Amp; Mustard  (100%); 81.58%  Area Of  Shri  Anna Cum  Coarse Cereals  Majorly In Jowar  (91.44%),  47.89%  Area  Of  Rice  And  75.00%  Area  Of  Wheat  Has  Been  Harvested  For  Rabi  Crops 2025-26 observed | Harvest: As on 17.04.2026, 81.69% of area has been harvested for Rabi crops all over India. Approximately 97% area  of  Pulses  mainly  in  Gram  (98%),  Urdbean  (98%)  &amp;  Moong  (82%);  98.41%  area  of  Oilseeds majorly  in  Rapeseed  &amp; Mustard  (100%); 81.58%  area of  Shri  Anna cum  Coarse Cereals  majorly in Jowar  (91.44%),  47.89%  area  of  Rice  and  75.00%  area  of  Wheat  has  been  harvested  for  rabi  crops 2025-26.",Minutes of the meeting of CWWG as on 20.04.2026_p1_c2
2026-04-20,Harvesting Stage | Rice In Tamil Nadu Has 89% Harvested observed | Harvest: Rice in Tamil Nadu has 89% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c10
2026-04-20,Harvesting Stage | Rice In Kerala Has 95% Harvested observed | Harvest: Rice in Kerala has 95% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c11
