Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Sesame (Sesamum),Karnataka,Pest Incidence,Harvesting,,,Sesame (Sesamum) is 100% harvested in Karnataka.,Sesame (Sesamum) Is 100% Harvested In Karnataka,,,,,,Sesame (Sesamum) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c87,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Chhattisgarh,Pest Incidence,Harvesting,,,Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Sesame (Sesamum) Is 100% Harvested In Chhattisgarh,,,,,,Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c88,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Odisha,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Odisha has 10% harvested.,Sesame (Sesamum) In Odisha Has 10% Harvested,,,,,,Sesame (Sesamum) in Odisha has 10% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c89,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Tamil Nadu,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Tamil Nadu has 33% harvested.,Sesame (Sesamum) In Tamil Nadu Has 33% Harvested,,,,,,Sesame (Sesamum) in Tamil Nadu has 33% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c90,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Andhra Pradesh,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Andhra Pradesh has 6% harvested.,Sesame (Sesamum) In Andhra Pradesh Has 6% Harvested,,,,,,Sesame (Sesamum) in Andhra Pradesh has 6% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c91,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Madhya Pradesh,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Madhya Pradesh has 60% harvested.,Sesame (Sesamum) In Madhya Pradesh Has 60% Harvested,,,,,,Sesame (Sesamum) in Madhya Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c92,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Uttar Pradesh,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Uttar Pradesh has 40% harvested.,Sesame (Sesamum) In Uttar Pradesh Has 40% Harvested,,,,,,Sesame (Sesamum) in Uttar Pradesh has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c93,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Rajasthan,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Rajasthan has 50% harvested.,Sesame (Sesamum) In Rajasthan Has 50% Harvested,,,,,,Sesame (Sesamum) in Rajasthan has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c94,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Chhattisgarh,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Chhattisgarh has 45% harvested.,Sesame (Sesamum) In Chhattisgarh Has 45% Harvested,,,,,,Sesame (Sesamum) in Chhattisgarh has 45% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c95,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Jharkhand,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Jharkhand has 25% harvested.,Sesame (Sesamum) In Jharkhand Has 25% Harvested,,,,,,Sesame (Sesamum) in Jharkhand has 25% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c96,0.9,VERIFIED,rule_based
2026-03-30,,Sesame (Sesamum),Bihar,Pest Incidence,Harvesting,,,Sesame (Sesamum) in Bihar has 20% harvested.,Sesame (Sesamum) In Bihar Has 20% Harvested,,,,,,Sesame (Sesamum) in Bihar has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c97,0.9,VERIFIED,rule_based
2026-04-06,,Sesame (Sesamum),Karnataka,Pest Incidence,Harvesting,,,Sesame (Sesamum) is 100% harvested in Karnataka.,Sesame (Sesamum) Is 100% Harvested In Karnataka,,,,,,Sesame (Sesamum) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c91,0.9,VERIFIED,rule_based
2026-04-06,,Sesame (Sesamum),Chhattisgarh,Pest Incidence,Harvesting,,,Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Sesame (Sesamum) Is 100% Harvested In Chhattisgarh,,,,,,Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c92,0.9,VERIFIED,rule_based
