Date,Observation,Evidence
2026-03-30,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Karnataka observed | Harvest: Sesame (Sesamum) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c87
2026-03-30,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Chhattisgarh observed | Harvest: Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c88
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Odisha Has 10% Harvested observed | Harvest: Sesame (Sesamum) in Odisha has 10% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c89
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Tamil Nadu Has 33% Harvested observed | Harvest: Sesame (Sesamum) in Tamil Nadu has 33% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c90
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Andhra Pradesh Has 6% Harvested observed | Harvest: Sesame (Sesamum) in Andhra Pradesh has 6% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c91
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Madhya Pradesh Has 60% Harvested observed | Harvest: Sesame (Sesamum) in Madhya Pradesh has 60% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c92
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Uttar Pradesh Has 40% Harvested observed | Harvest: Sesame (Sesamum) in Uttar Pradesh has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c93
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Rajasthan Has 50% Harvested observed | Harvest: Sesame (Sesamum) in Rajasthan has 50% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c94
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Chhattisgarh Has 45% Harvested observed | Harvest: Sesame (Sesamum) in Chhattisgarh has 45% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c95
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Jharkhand Has 25% Harvested observed | Harvest: Sesame (Sesamum) in Jharkhand has 25% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c96
2026-03-30,Harvesting Stage | Sesame (Sesamum) In Bihar Has 20% Harvested observed | Harvest: Sesame (Sesamum) in Bihar has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c97
2026-04-06,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Karnataka observed | Harvest: Sesame (Sesamum) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c91
2026-04-06,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Chhattisgarh observed | Harvest: Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c92
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Odisha Has 50% Harvested observed | Harvest: Sesame (Sesamum) in Odisha has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c93
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Tamil Nadu Has 40% Harvested observed | Harvest: Sesame (Sesamum) in Tamil Nadu has 40% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c94
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Andhra Pradesh Has 6% Harvested observed | Harvest: Sesame (Sesamum) in Andhra Pradesh has 6% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c95
2026-04-06,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Rajasthan observed | Harvest: Sesame (Sesamum) is 100% harvested in Rajasthan.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c96
2026-04-06,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Madhya Pradesh observed | Harvest: Sesame (Sesamum) is 100% harvested in Madhya Pradesh.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c97
2026-04-06,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Assam observed | Harvest: Sesame (Sesamum) is 100% harvested in Assam.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c98
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Uttar Pradesh Has 90% Harvested observed | Harvest: Sesame (Sesamum) in Uttar Pradesh has 90% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c99
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Chhattisgarh Has 55% Harvested observed | Harvest: Sesame (Sesamum) in Chhattisgarh has 55% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c100
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Jharkhand Has 50% Harvested observed | Harvest: Sesame (Sesamum) in Jharkhand has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c101
2026-04-06,Harvesting Stage | Sesame (Sesamum) In Bihar Has 50% Harvested observed | Harvest: Sesame (Sesamum) in Bihar has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c102
2026-04-13,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Odisha observed | Harvest: Sesame (Sesamum) is 100% harvested in Odisha.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c70
2026-04-13,Harvesting Stage | Sesame (Sesamum) Is 100% Harvested In Chhattisgarh observed | Harvest: Sesame (Sesamum) is 100% harvested in Chhattisgarh.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c71
2026-04-13,Harvesting Stage | Sesame (Sesamum) In Maharashtra Has 90% Harvested observed | Harvest: Sesame (Sesamum) in Maharashtra has 90% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c72
2026-04-13,Harvesting Stage | Sesame (Sesamum) In Tamil Nadu Has 40% Harvested observed | Harvest: Sesame (Sesamum) in Tamil Nadu has 40% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c73
2026-04-13,Other,Minutes of the meeting of CWWG as on 13.04.2026_p1_c74
