Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Sorghum (Jowar),Maharashtra,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Maharashtra has 45% harvested.,Sorghum (Jowar) In Maharashtra Has 45% Harvested,,,,,,Sorghum (Jowar) in Maharashtra has 45% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c48,0.9,VERIFIED,rule_based
2026-03-30,,Sorghum (Jowar),Karnataka,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Karnataka has 75% harvested.,Sorghum (Jowar) In Karnataka Has 75% Harvested,,,,,,Sorghum (Jowar) in Karnataka has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c49,0.9,VERIFIED,rule_based
2026-03-30,,Sorghum (Jowar),Tamil Nadu,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Tamil Nadu has 85% harvested.,Sorghum (Jowar) In Tamil Nadu Has 85% Harvested,,,,,,Sorghum (Jowar) in Tamil Nadu has 85% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c50,0.9,VERIFIED,rule_based
2026-03-30,,Sorghum (Jowar),Telangana,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Telangana has 20% harvested.,Sorghum (Jowar) In Telangana Has 20% Harvested,,,,,,Sorghum (Jowar) in Telangana has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c51,0.9,VERIFIED,rule_based
2026-03-30,,Sorghum (Jowar),Andhra Pradesh,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Sorghum (Jowar) In Andhra Pradesh Has 29% Harvested,,,,,,Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c52,0.9,VERIFIED,rule_based
2026-04-06,,Sorghum (Jowar),Maharashtra,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Maharashtra has 50% harvested.,Sorghum (Jowar) In Maharashtra Has 50% Harvested,,,,,,Sorghum (Jowar) in Maharashtra has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c48,0.9,VERIFIED,rule_based
2026-04-06,,Sorghum (Jowar),Karnataka,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Karnataka has 80% harvested.,Sorghum (Jowar) In Karnataka Has 80% Harvested,,,,,,Sorghum (Jowar) in Karnataka has 80% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c49,0.9,VERIFIED,rule_based
2026-04-06,,Sorghum (Jowar),Tamil Nadu,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Tamil Nadu has 87% harvested.,Sorghum (Jowar) In Tamil Nadu Has 87% Harvested,,,,,,Sorghum (Jowar) in Tamil Nadu has 87% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c50,0.9,VERIFIED,rule_based
2026-04-06,,Sorghum (Jowar),Telangana,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Telangana has 25% harvested.,Sorghum (Jowar) In Telangana Has 25% Harvested,,,,,,Sorghum (Jowar) in Telangana has 25% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c51,0.9,VERIFIED,rule_based
2026-04-06,,Sorghum (Jowar),Andhra Pradesh,Pest Incidence,Harvesting,,,Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Sorghum (Jowar) In Andhra Pradesh Has 29% Harvested,,,,,,Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c52,0.9,VERIFIED,rule_based
