Date,Observation,Evidence
2026-03-30,Harvesting Stage | Sorghum (Jowar) In Maharashtra Has 45% Harvested observed | Harvest: Sorghum (Jowar) in Maharashtra has 45% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c48
2026-03-30,Harvesting Stage | Sorghum (Jowar) In Karnataka Has 75% Harvested observed | Harvest: Sorghum (Jowar) in Karnataka has 75% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c49
2026-03-30,Harvesting Stage | Sorghum (Jowar) In Tamil Nadu Has 85% Harvested observed | Harvest: Sorghum (Jowar) in Tamil Nadu has 85% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c50
2026-03-30,Harvesting Stage | Sorghum (Jowar) In Telangana Has 20% Harvested observed | Harvest: Sorghum (Jowar) in Telangana has 20% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c51
2026-03-30,Harvesting Stage | Sorghum (Jowar) In Andhra Pradesh Has 29% Harvested observed | Harvest: Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c52
2026-04-06,Harvesting Stage | Sorghum (Jowar) In Maharashtra Has 50% Harvested observed | Harvest: Sorghum (Jowar) in Maharashtra has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c48
2026-04-06,Harvesting Stage | Sorghum (Jowar) In Karnataka Has 80% Harvested observed | Harvest: Sorghum (Jowar) in Karnataka has 80% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c49
2026-04-06,Harvesting Stage | Sorghum (Jowar) In Tamil Nadu Has 87% Harvested observed | Harvest: Sorghum (Jowar) in Tamil Nadu has 87% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c50
2026-04-06,Harvesting Stage | Sorghum (Jowar) In Telangana Has 25% Harvested observed | Harvest: Sorghum (Jowar) in Telangana has 25% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c51
2026-04-06,Harvesting Stage | Sorghum (Jowar) In Andhra Pradesh Has 29% Harvested observed | Harvest: Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c52
2026-04-13,Harvesting Stage | Sorghum (Jowar) In Maharashtra Has 85% Harvested observed | Harvest: Sorghum (Jowar) in Maharashtra has 85% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c41
2026-04-13,Harvesting Stage | Sorghum (Jowar) In Karnataka Has 95% Harvested observed | Harvest: Sorghum (Jowar) in Karnataka has 95% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c42
2026-04-13,Harvesting Stage | Sorghum (Jowar) In Tamil Nadu Has 90% Harvested observed | Harvest: Sorghum (Jowar) in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c43
2026-04-13,Harvesting Stage | Sorghum (Jowar) In Telangana Has 35% Harvested observed | Harvest: Sorghum (Jowar) in Telangana has 35% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c44
2026-04-13,Harvesting Stage | Sorghum (Jowar) In Andhra Pradesh Has 29% Harvested observed | Harvest: Sorghum (Jowar) in Andhra Pradesh has 29% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c45
2026-04-20,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Gujarat observed | Harvest: Sorghum (Jowar) is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c40
2026-04-20,Harvesting Stage | Sorghum (Jowar) In Maharashtra Has 95% Harvested observed | Harvest: Sorghum (Jowar) in Maharashtra has 95% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c41
2026-04-20,Harvesting Stage | Sorghum (Jowar) In Karnataka Has 97% Harvested observed | Harvest: Sorghum (Jowar) in Karnataka has 97% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c42
2026-04-20,Harvesting Stage | Sorghum (Jowar) In Tamil Nadu Has 90% Harvested observed | Harvest: Sorghum (Jowar) in Tamil Nadu has 90% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c43
2026-04-20,Harvesting Stage | Sorghum (Jowar) In Telangana Has 40% Harvested observed | Harvest: Sorghum (Jowar) in Telangana has 40% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c44
2026-04-20,Harvesting Stage | Sorghum (Jowar) In Andhra Pradesh Has 35% Harvested observed | Harvest: Sorghum (Jowar) in Andhra Pradesh has 35% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c45
2026-04-27,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Karnataka observed | Harvest: Sorghum (Jowar) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c41
2026-04-27,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Maharashtra observed | Harvest: Sorghum (Jowar) is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c42
2026-04-27,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Tamil Nadu observed | Harvest: Sorghum (Jowar) is 100% harvested in Tamil Nadu.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c43
2026-04-27,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Gujarat observed | Harvest: Sorghum (Jowar) is 100% harvested in Gujarat.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c44
2026-04-27,Harvesting Stage | Sorghum (Jowar) In Telangana Has 65% Harvested observed | Harvest: Sorghum (Jowar) in Telangana has 65% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c45
2026-04-27,Harvesting Stage | Sorghum (Jowar) In Andhra Pradesh Has 45% Harvested observed | Harvest: Sorghum (Jowar) in Andhra Pradesh has 45% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c46
2026-05-04,Harvesting Stage | Sorghum (Jowar) Is 100% Harvested In Karnataka observed | Harvest: Sorghum (Jowar) is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 04.05.2026_p1_c18
