Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Sunflower,Karnataka,Pest Incidence,Harvesting,,,Sunflower in Karnataka has 93% harvested.,Sunflower In Karnataka Has 93% Harvested,,,,,,Sunflower in Karnataka has 93% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c84,0.9,VERIFIED,rule_based
2026-03-30,,Sunflower,Odisha,Pest Incidence,Harvesting,,,Sunflower in Odisha has 30% harvested.,Sunflower In Odisha Has 30% Harvested,,,,,,Sunflower in Odisha has 30% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c85,0.9,VERIFIED,rule_based
2026-03-30,,Sunflower,Tamil Nadu,Pest Incidence,Harvesting,,,Sunflower in Tamil Nadu has 69% harvested.,Sunflower In Tamil Nadu Has 69% Harvested,,,,,,Sunflower in Tamil Nadu has 69% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c86,0.9,VERIFIED,rule_based
2026-04-06,,Sunflower,Karnataka,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Karnataka.,Sunflower Is 100% Harvested In Karnataka,,,,,,Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c88,0.9,VERIFIED,rule_based
2026-04-06,,Sunflower,Odisha,Pest Incidence,Harvesting,,,Sunflower in Odisha has 50% harvested.,Sunflower In Odisha Has 50% Harvested,,,,,,Sunflower in Odisha has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c89,0.9,VERIFIED,rule_based
2026-04-06,,Sunflower,Tamil Nadu,Pest Incidence,Harvesting,,,Sunflower in Tamil Nadu has 80% harvested.,Sunflower In Tamil Nadu Has 80% Harvested,,,,,,Sunflower in Tamil Nadu has 80% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c90,0.9,VERIFIED,rule_based
2026-04-13,,Sunflower,Karnataka,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Karnataka.,Sunflower Is 100% Harvested In Karnataka,,,,,,Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 13.04.2026.pdf,1,Minutes of the meeting of CWWG as on 13.04.2026_p1_c67,0.9,VERIFIED,rule_based
2026-04-13,,Sunflower,Maharashtra,Pest Incidence,Harvesting,,,Sunflower in Maharashtra has 90% harvested.,Sunflower In Maharashtra Has 90% Harvested,,,,,,Sunflower in Maharashtra has 90% harvested.,Minutes of the meeting of CWWG as on 13.04.2026.pdf,1,Minutes of the meeting of CWWG as on 13.04.2026_p1_c68,0.9,VERIFIED,rule_based
2026-04-13,,Sunflower,Tamil Nadu,Pest Incidence,Harvesting,,,Sunflower in Tamil Nadu has 97% harvested.,Sunflower In Tamil Nadu Has 97% Harvested,,,,,,Sunflower in Tamil Nadu has 97% harvested.,Minutes of the meeting of CWWG as on 13.04.2026.pdf,1,Minutes of the meeting of CWWG as on 13.04.2026_p1_c69,0.9,VERIFIED,rule_based
2026-04-20,,Sunflower,Karnataka,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Karnataka.,Sunflower Is 100% Harvested In Karnataka,,,,,,Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 20.04.2026.pdf,1,Minutes of the meeting of CWWG as on 20.04.2026_p1_c70,0.9,VERIFIED,rule_based
2026-04-20,,Sunflower,Maharashtra,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Maharashtra.,Sunflower Is 100% Harvested In Maharashtra,,,,,,Sunflower is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 20.04.2026.pdf,1,Minutes of the meeting of CWWG as on 20.04.2026_p1_c71,0.9,VERIFIED,rule_based
2026-04-20,,Sunflower,Tamil Nadu,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Tamil Nadu.,Sunflower Is 100% Harvested In Tamil Nadu,,,,,,Sunflower is 100% harvested in Tamil Nadu.,Minutes of the meeting of CWWG as on 20.04.2026.pdf,1,Minutes of the meeting of CWWG as on 20.04.2026_p1_c72,0.9,VERIFIED,rule_based
2026-04-20,,Sunflower,Telangana,Pest Incidence,Harvesting,,,Sunflower in Telangana has 70% harvested.,Sunflower In Telangana Has 70% Harvested,,,,,,Sunflower in Telangana has 70% harvested.,Minutes of the meeting of CWWG as on 20.04.2026.pdf,1,Minutes of the meeting of CWWG as on 20.04.2026_p1_c73,0.9,VERIFIED,rule_based
2026-04-27,,Sunflower,Karnataka,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Karnataka.,Sunflower Is 100% Harvested In Karnataka,,,,,,Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c68,0.9,VERIFIED,rule_based
2026-04-27,,Sunflower,West Bengal,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in West Bengal.,Sunflower Is 100% Harvested In West Bengal,,,,,,Sunflower is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c69,0.9,VERIFIED,rule_based
2026-04-27,,Sunflower,Bihar,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Bihar.,Sunflower Is 100% Harvested In Bihar,,,,,,Sunflower is 100% harvested in Bihar.,Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c70,0.9,VERIFIED,rule_based
2026-04-27,,Sunflower,Jharkhand,Pest Incidence,Harvesting,,,Sunflower is 100% harvested in Jharkhand.,Sunflower Is 100% Harvested In Jharkhand,,,,,,Sunflower is 100% harvested in Jharkhand.,Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c71,0.9,VERIFIED,rule_based
2026-04-27,,Sunflower,Andhra Pradesh,Pest Incidence,Harvesting,,,Sunflower in Andhra Pradesh has 95% harvested.,Sunflower In Andhra Pradesh Has 95% Harvested,,,,,,Sunflower in Andhra Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 27.04.2026.pdf,1,Minutes of the meeting of CWWG as on 27.04.2026_p1_c72,0.9,VERIFIED,rule_based
2026-06-01,,Sunflower,Odisha,Sowing Progress,Sowing,," As  per  3 rd   Advance  Estimates  2025-26,  about  116.3  percent  of  the  normal  area  has  been sown under the summer season crops.
-
Rice: About  32.63  lakh  ha  area  coverage  under  Summer  Rice  has  been  reported  as compared to 33.28 lakh ha during the corresponding period of last year.
-
Pulses: About  27.16  lakh  ha  area  coverage  has  been  reported  compared  to  27.07  lakh  ha during the corresponding period of last year.
-
Oilseeds: About 10.62 lakh ha area coverage has been reported compared to 9.51 lakh ha during the corresponding period of last year.
|---------------------------------------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------------------------------------|---------------------------------------------------------------------------|
|                                                                           | Area                                                                      | Area                                                                      | Area                                                                      | Increase /                                                                |
| Crop                                                                      | Normal                                                                    | 2025-26                                                                   | 2024-25                                                                   | Decrease                                                                  |
| Rice                                                                      | 31.49                                                                     | 32.63                                                                     | 33.28                                                                     |
0.65                                                                     |
| Maize                                                                     | 6.98                                                                      | 10.58                                                                     | 8.50                                                                      | 2.08                                                                      |
| Jowar                                                                     | 0.34                                                                      | 0.43                                                                      | 0.36                                                                      | 0.07                                                                      |
| Bajra                                                                     | 4.43                                                                      | 5.83                                                                      | 5.20                                                                      | 0.63                                                                      |
| Shree Anna /Nutri Cereals                                                 | 4.77                                                                      | 6.26                                                                      | 5.56                                                                      | 0.70                                                                      |
| Nutri/Coarse Cereals                                                      | 11.75                                                                     | 16.84                                                                     | 14.05                                                                     | 2.79                                                                      |
| Cereals                                                                   | 43.23                                                                     | 49.48                                                                     | 47.33                                                                     | 2.15                                                                      |
| Urad                                                                      | 2.96                                                                      | 4.34                                                                      | 3.58                                                                      | 0.76                                                                      |
| Moong                                                                     | 20.44                                                                     | 22.82                                                                     | 23.49                                                                     |
0.67                                                                     |
| Total Pulses                                                              | 23.40                                                                     | 27.16                                                                     | 27.07                                                                     | 0.09                                                                      |
| Total Food Grains                                                         | 66.64                                                                     | 76.64                                                                     | 74.40                                                                     | 2.24                                                                      |
| Groundnut                                                                 | 3.40                                                                      | 5.23                                                                      | 4.20                                                                      | 1.03                                                                      |
| Sesamum                                                                   | 4.66                                                                      | 5.04                                                                      | 4.96                                                                      | 0.08                                                                      |
| Sunflower                                                                 | 0.34                                                                      | 0.35                                                                      | 0.35                                                                      | 0.00                                                                      |
| Total Oil Seeds                                                           | 8.40                                                                      | 10.62                                                                     | 9.51                                                                      | 1.11                                                                      |
| Total                                                                     | 75.04                                                                     | 87.26                                                                     | 83.91                                                                     | 3.35                                                                      |",,,,,,,," As per 3 rd Advance Estimates 2025-26, about 116.3 percent of the normal area has been sown under the summer season crops.
-
Rice: About 32.63 lakh ha area coverage under Summer Rice has been reported as compared to 33.28 lakh ha during the corresponding period of last year.
-
Pulses: About 27.16 lakh ha area coverage has been reported compared to 27.07 lakh ha during the corresponding period of last year.
-
Oilseeds: About 10.62 lakh ha area coverage has been reported compared to 9.51 lakh ha during the corresponding period of last year. --------------------------------------------------------------------------- --------------------------------------------------------------------------- --------------------------------------------------------------------------- --------------------------------------------------------------------------- --------------------------------------------------------------------------- Area Area Area Increase / Crop Normal 2025-26 2024-25 Decrease Rice 31.49 32.63 33.28 0.65 Maize 6.98 10.58 8.50 2.08 Jowar 0.34 0.43 0.36 0.07 Bajra 4.43 5.83 5.20 0.63 Shree Anna /Nutri Cereals 4.77 6.26 5.56 0.70 Nutri/Coarse Cereals 11.75 16.84 14.05 2.79 Cereals 43.23 49.48 47.33 2.15 Urad 2.96 4.34 3.58 0.76 Moong 20.44 22.82 23.49 0.67 Total Pulses 23.40 27.16 27.07 0.09 Total Food Grains 66.64 76.64 74.40 2.24 Groundnut 3.40 5.23 4.20 1.03 Sesamum 4.66 5.04 4.96 0.08 Sunflower 0.34 0.35 0.35 0.00 Total Oil Seeds 8.40 10.62 9.51 1.11 Total 75.04 87.26 83.91 3.35",Minutes of the meeting of CWWG as on 01.06.2026.pdf,1,Minutes of the meeting of CWWG as on 01.06.2026_p1_c6,0.9,VERIFIED,rule_based
2026-06-01,,Sunflower,Odisha,Pest Incidence,,,,,The Overall Intensity Of Pests And Diseases Remained Below The Economic Threshold Level,,,,,, The overall intensity of pests and diseases remained below the Economic Threshold Level.,Minutes of the meeting of CWWG as on 01.06.2026.pdf,1,Minutes of the meeting of CWWG as on 01.06.2026_p1_c7,0.9,VERIFIED,rule_based
