Date,Observation,Evidence
2026-03-30,Harvesting Stage | Sunflower In Karnataka Has 93% Harvested observed | Harvest: Sunflower in Karnataka has 93% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c84
2026-03-30,Harvesting Stage | Sunflower In Odisha Has 30% Harvested observed | Harvest: Sunflower in Odisha has 30% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c85
2026-03-30,Harvesting Stage | Sunflower In Tamil Nadu Has 69% Harvested observed | Harvest: Sunflower in Tamil Nadu has 69% harvested.,Minutes of the meeting of CWWG as on 30.03.2026_p1_c86
2026-04-06,Harvesting Stage | Sunflower Is 100% Harvested In Karnataka observed | Harvest: Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c88
2026-04-06,Harvesting Stage | Sunflower In Odisha Has 50% Harvested observed | Harvest: Sunflower in Odisha has 50% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c89
2026-04-06,Harvesting Stage | Sunflower In Tamil Nadu Has 80% Harvested observed | Harvest: Sunflower in Tamil Nadu has 80% harvested.,Minutes of the meeting of CWWG as on 06.04.2026_p1_c90
2026-04-13,Harvesting Stage | Sunflower Is 100% Harvested In Karnataka observed | Harvest: Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c67
2026-04-13,Harvesting Stage | Sunflower In Maharashtra Has 90% Harvested observed | Harvest: Sunflower in Maharashtra has 90% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c68
2026-04-13,Harvesting Stage | Sunflower In Tamil Nadu Has 97% Harvested observed | Harvest: Sunflower in Tamil Nadu has 97% harvested.,Minutes of the meeting of CWWG as on 13.04.2026_p1_c69
2026-04-20,Harvesting Stage | Sunflower Is 100% Harvested In Karnataka observed | Harvest: Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c70
2026-04-20,Harvesting Stage | Sunflower Is 100% Harvested In Maharashtra observed | Harvest: Sunflower is 100% harvested in Maharashtra.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c71
2026-04-20,Harvesting Stage | Sunflower Is 100% Harvested In Tamil Nadu observed | Harvest: Sunflower is 100% harvested in Tamil Nadu.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c72
2026-04-20,Harvesting Stage | Sunflower In Telangana Has 70% Harvested observed | Harvest: Sunflower in Telangana has 70% harvested.,Minutes of the meeting of CWWG as on 20.04.2026_p1_c73
2026-04-27,Harvesting Stage | Sunflower Is 100% Harvested In Karnataka observed | Harvest: Sunflower is 100% harvested in Karnataka.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c68
2026-04-27,Harvesting Stage | Sunflower Is 100% Harvested In West Bengal observed | Harvest: Sunflower is 100% harvested in West Bengal.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c69
2026-04-27,Harvesting Stage | Sunflower Is 100% Harvested In Bihar observed | Harvest: Sunflower is 100% harvested in Bihar.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c70
2026-04-27,Harvesting Stage | Sunflower Is 100% Harvested In Jharkhand observed | Harvest: Sunflower is 100% harvested in Jharkhand.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c71
2026-04-27,Harvesting Stage | Sunflower In Andhra Pradesh Has 95% Harvested observed | Harvest: Sunflower in Andhra Pradesh has 95% harvested.,Minutes of the meeting of CWWG as on 27.04.2026_p1_c72
