Date,Week,Crop,State,Observation Type,Growth Stage,Crop Operation,Sowing Status,Harvest Status,Pest,Disease,Weather,Irrigation,Nutrient Management,Statistics,Evidence,PDF Name,Page,Chunk ID,Confidence,Verification Status,Source Method
2026-03-30,,Wheat,Chhattisgarh,Sowing Progress,Sowing,,"| Sl. No.   | Crops                         | Normal Summer Area (DES)*   | Final Summer Area 2025   | Area Sown           | Area Sown                                | Increase/ Decrease over corresponding period of Last year   |
|-----------|-------------------------------|-----------------------------|--------------------------|---------------------|------------------------------------------|-------------------------------------------------------------|
| Sl. No.   | Crops                         | Normal Summer Area (DES)*   | Final Summer Area 2025   | Current Year (2026) | Corresponding period of Last Year (2025) | Increase/ Decrease over corresponding period of Last year   |
| 1         | Rice                          | 31.49                       | 33.28                    | 28.50               | 30.69                                    |
2.19                                                       |
| 2         | Pulses                        | 23.40                       | 27.07                    | 6.06                | 5.60                                     | 0.46                                                        |
| a         | Greengram                     | 20.44                       | 23.49                    | 3.91                | 3.65                                     | 0.25                                                        |
| b         | Blackgram                     | 2.96                        | 3.58                     | 1.90                | 1.77                                     | 0.13                                                        |
| c         | Other Pulses                  | 0.00                        |
| 0.25                | 0.17                                     | 0.08                                                        |
| 3         | Shree Anna cum Coarse Cereals | 12.08                       | 14.06                    | 9.34                | 9.71                                     |
0.37                                                       |
| a         | Jowar                         | 0.34                        | 0.36                     | 0.26                | 0.35                                     |
0.10                                                       |
| b         | Bajra                         | 4.43                        | 5.20                     | 2.50                | 2.29                                     | 0.21                                                        |
| c         | Ragi                          | 0.31                        |
| 0.20                | 0.13                                     | 0.07                                                        |
| d         | Small Millets                 | 0.02                        |
| 0.02                | 0.03                                     |
0.01                                                       |
| e         | Maize                         | 6.98                        | 8.50                     | 6.36                | 6.91                                     |
0.54                                                       |
| 4         | Oilseeds                      | 8.40                        | 9.51                     | 5.97                | 6.34                                     |
0.37                                                       |
| a         | Groundnut                     | 3.40                        | 4.20                     | 3.56                | 4.08                                     |
0.52                                                       |
| b         | Sunflower                     | 0.34                        | 0.35                     | 0.34                | 0.30                                     | 0.05                                                        |
| c         | Sesamum                       | 4.66                        | 4.96                     | 2.02                | 1.91                                     | 0.11                                                        |
| d         | Other Oilseeds                | 0.00                        |
| 0.04                | 0.06                                     |
0.02                                                       |
| Total     | Total                         | 75.37                       | 83.92                    | 49.87               | 52.35                                    |
2.47                                                       |
|-----------|----------------------------|---------------------|------------------------|--------------------|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|",,,,,,,,Sl. No. Crops Normal Summer Area (DES)* Final Summer Area 2025 Area Sown Area Sown Increase/ Decrease over corresponding period of Last year ----------- ------------------------------- ----------------------------- -------------------------- --------------------- ------------------------------------------ ------------------------------------------------------------- Sl. No. Crops Normal Summer Area (DES)* Final Summer Area 2025 Current Year (2026) Corresponding period of Last Year (2025) Increase/ Decrease over corresponding period of Last year 1 Rice 31.49 33.28 28.50 30.69 2.19 2 Pulses 23.40 27.07 6.06 5.60 0.46 a Greengram 20.44 23.49 3.91 3.65 0.25 b Blackgram 2.96 3.58 1.90 1.77 0.13 c Other Pulses 0.00 0.25 0.17 0.08 3 Shree Anna cum Coarse Cereals 12.08 14.06 9.34 9.71 0.37 a Jowar 0.34 0.36 0.26 0.35 0.10 b Bajra 4.43 5.20 2.50 2.29 0.21 c Ragi 0.31 0.20 0.13 0.07 d Small Millets 0.02 0.02 0.03 0.01 e Maize 6.98 8.50 6.36 6.91 0.54 4 Oilseeds 8.40 9.51 5.97 6.34 0.37 a Groundnut 3.40 4.20 3.56 4.08 0.52 b Sunflower 0.34 0.35 0.34 0.30 0.05 c Sesamum 4.66 4.96 2.02 1.91 0.11 d Other Oilseeds 0.00 0.04 0.06 0.02 Total Total 75.37 83.92 49.87 52.35 2.47 ----------- ---------------------------- --------------------- ------------------------ -------------------- -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c6,0.9,VERIFIED,rule_based
2026-03-30,,Wheat,Karnataka,Pest Incidence,Harvesting,,,Wheat in Karnataka has 94% harvested.,Wheat In Karnataka Has 94% Harvested,,,,,,Wheat in Karnataka has 94% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c7,0.9,VERIFIED,rule_based
2026-03-30,,Wheat,Gujarat,Pest Incidence,Harvesting,,,Wheat in Gujarat has 85% harvested.,Wheat In Gujarat Has 85% Harvested,,,,,,Wheat in Gujarat has 85% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c8,0.9,VERIFIED,rule_based
2026-03-30,,Wheat,Maharashtra,Pest Incidence,Harvesting,,,Wheat in Maharashtra has 40% harvested.,Wheat In Maharashtra Has 40% Harvested,,,,,,Wheat in Maharashtra has 40% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c9,0.9,VERIFIED,rule_based
2026-03-30,,Wheat,Madhya Pradesh,Pest Incidence,Harvesting,,,Wheat in Madhya Pradesh has 2% harvested.,Wheat In Madhya Pradesh Has 2% Harvested,,,,,,Wheat in Madhya Pradesh has 2% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c10,0.9,VERIFIED,rule_based
2026-03-30,,Wheat,Rajasthan,Pest Incidence,Harvesting,,,Wheat in Rajasthan has 2% harvested.,Wheat In Rajasthan Has 2% Harvested,,,,,,Wheat in Rajasthan has 2% harvested.,Minutes of the meeting of CWWG as on 30.03.2026.pdf,1,Minutes of the meeting of CWWG as on 30.03.2026_p1_c11,0.9,VERIFIED,rule_based
2026-04-06,,Wheat,Odisha,Harvest Progress,Harvesting,,," Rice : About 30.12 lakh ha area coverage under Summer Rice has been reported as compared to 32.59 lakh ha during the corresponding period of last year.
-
Pulses :  About  8.79  lakh  ha  area  coverage  has  been  reported  compared  to  7.02  lakh  ha  during  the corresponding period of last year.
-
Oilseeds :  About 7.74 lakh ha area coverage has been reported compared to 7.42 lakh ha during the corresponding period of last year.
| Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   | Progress of Area coverage under Summer crops as on 03.04.2026   |
|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|-----------------------------------------------------------------|
|                                                                 |                                                                 | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Area Sown                                                       | Area Sown                                                       | (In lakh hectare)                                               |
| Sl. No.                                                         | Crops                                                           | Normal Summer Area (DES)*                                       | Final Summer Area 2025                                          | Current Year (2026)                                             | Corresponding period of Last Year (2025)                        | Decrease corresponding period of year                           |
| 1                                                               | Rice                                                            | 31.49                                                           | 33.28                                                           | 30.12                                                           | 32.59                                                           |
2.47                                                           |
| 2                                                               | Pulses                                                          | 23.40                                                           | 27.07                                                           | 8.79                                                            | 7.02                                                            | 1.77                                                            |
| a                                                               | Greengram                                                       | 20.44                                                           | 23.49                                                           | 6.09                                                            | 4.91                                                            | 1.18                                                            |
| b                                                               | Blackgram                                                       | 2.96                                                            | 3.58                                                            | 2.42                                                            | 1.93                                                            | 0.49                                                            |
| c                                                               | Other Pulses                                                    | 0.00                                                            |
| 0.28                                                            | 0.17                                                            | 0.11                                                            |
| 3                                                               | Shree Anna cum Coarse Cereals                                   | 12.08                                                           | 14.06                                                           | 11.64                                                           | 10.77                                                           | 0.87                                                            |
| a                                                               | Jowar                                                           | 0.34                                                            | 0.36                                                            | 0.32                                                            | 0.41                                                            |
0.10                                                           |
| b                                                               | Bajra                                                           | 4.43                                                            | 5.20                                                            | 3.91                                                            | 3.15                                                            | 0.76                                                            |
| c                                                               | Ragi                                                            | 0.31                                                            |
| 0.21                                                            | 0.16                                                            | 0.05                                                            |
| d                                                               | Small Millets                                                   | 0.02                                                            |
| 0.03                                                            | 0.03                                                            | 0.00                                                            |
| e                                                               | Maize                                                           | 6.98                                                            | 8.50                                                            | 7.18                                                            | 7.01                                                            | 0.17                                                            |
| 4                                                               | Oilseeds                                                        | 8.40                                                            | 9.51                                                            | 7.74                                                            | 7.42                                                            | 0.31                                                            |
| a                                                               | Groundnut                                                       | 3.40                                                            | 4.20                                                            | 4.59                                                            | 4.20                                                            | 0.39                                                            |
| b                                                               | Sunflower                                                       | 0.34                                                            | 0.35                                                            | 0.38                                                            | 0.36                                                            | 0.03                                                            |
| c                                                               | Sesamum                                                         | 4.66                                                            | 4.96                                                            | 2.71                                                            | 2.80                                                            |
0.09                                                           |
| d                                                               | Other Oilseeds                                                  | 0.00                                                            |
| 0.05                                                            | 0.06                                                            |
0.01                                                           |
| Total                                                           | Total                                                           | 75.37                                                           | 83.92                                                           | 49.87                                                           | 58.29                                                           | 0.48                                                            |
| SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026   | SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026   | SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026   | SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026   | SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026   | SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026                                                                                                                                           |
|---------------------------------------------------------------|---------------------------------------------------------------|---------------------------------------------------------------|---------------------------------------------------------------|---------------------------------------------------------------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|",,,,,,," Rice : About 30.12 lakh ha area coverage under Summer Rice has been reported as compared to 32.59 lakh ha during the corresponding period of last year.
-
Pulses : About 8.79 lakh ha area coverage has been reported compared to 7.02 lakh ha during the corresponding period of last year.
-
Oilseeds : About 7.74 lakh ha area coverage has been reported compared to 7.42 lakh ha during the corresponding period of last year. Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 Progress of Area coverage under Summer crops as on 03.04.2026 ----------------------------------------------------------------- ----------------------------------------------------------------- ----------------------------------------------------------------- ----------------------------------------------------------------- ----------------------------------------------------------------- ----------------------------------------------------------------- ----------------------------------------------------------------- Normal Summer Area (DES)* Final Summer Area 2025 Area Sown Area Sown (In lakh hectare) Sl. No. Crops Normal Summer Area (DES)* Final Summer Area 2025 Current Year (2026) Corresponding period of Last Year (2025) Decrease corresponding period of year 1 Rice 31.49 33.28 30.12 32.59 2.47 2 Pulses 23.40 27.07 8.79 7.02 1.77 a Greengram 20.44 23.49 6.09 4.91 1.18 b Blackgram 2.96 3.58 2.42 1.93 0.49 c Other Pulses 0.00 0.28 0.17 0.11 3 Shree Anna cum Coarse Cereals 12.08 14.06 11.64 10.77 0.87 a Jowar 0.34 0.36 0.32 0.41 0.10 b Bajra 4.43 5.20 3.91 3.15 0.76 c Ragi 0.31 0.21 0.16 0.05 d Small Millets 0.02 0.03 0.03 0.00 e Maize 6.98 8.50 7.18 7.01 0.17 4 Oilseeds 8.40 9.51 7.74 7.42 0.31 a Groundnut 3.40 4.20 4.59 4.20 0.39 b Sunflower 0.34 0.35 0.38 0.36 0.03 c Sesamum 4.66 4.96 2.71 2.80 0.09 d Other Oilseeds 0.00 0.05 0.06 0.01 Total Total 75.37 83.92 49.87 58.29 0.48 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 SOWING AND HARVESTING STATUS OF RABI CROPS AS ON 03.04.2026 --------------------------------------------------------------- --------------------------------------------------------------- --------------------------------------------------------------- --------------------------------------------------------------- --------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------",Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c6,0.9,VERIFIED,rule_based
2026-04-06,,Wheat,Karnataka,Pest Incidence,Harvesting,,,Wheat in Karnataka has 98% harvested.,Wheat In Karnataka Has 98% Harvested,,,,,,Wheat in Karnataka has 98% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c7,0.9,VERIFIED,rule_based
2026-04-06,,Wheat,Gujarat,Pest Incidence,Harvesting,,,Wheat in Gujarat has 90% harvested.,Wheat In Gujarat Has 90% Harvested,,,,,,Wheat in Gujarat has 90% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c8,0.9,VERIFIED,rule_based
2026-04-06,,Wheat,Maharashtra,Pest Incidence,Harvesting,,,Wheat in Maharashtra has 17% harvested.,Wheat In Maharashtra Has 17% Harvested,,,,,,Wheat in Maharashtra has 17% harvested.,Minutes of the meeting of CWWG as on 06.04.2026.pdf,1,Minutes of the meeting of CWWG as on 06.04.2026_p1_c9,0.9,VERIFIED,rule_based
