id,crop,state,district,report_date,report_week,growth_stage,pest,disease,weather_condition,advisory,page_number,source_pdf,confidence,original_text,source_method,pipeline_version,dictionary_version,chunk_id,verification_status
1091,Sugarcane,All India,State-wide,2026-07-13,7,Sowing,None,None,,,1,Minutes of the meeting of CWWG as on 13.07.2026.pdf,0.9," Kharif sowing data collection has started from 05 th June, 2026 and the sowing is in preliminary stage. As on 10 July 2026, the area sown under Kharif crops is 531.25 lakh ha (including 57.58 lakh ha in Sugarcane) as compared to 632.69 lakh ha during the corresponding period of last year.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 13.07.2026_p1_c1,VERIFIED
1092,Cotton,All India,State-wide,2026-07-13,7,Active Growth,None,None,,,1,Minutes of the meeting of CWWG as on 13.07.2026.pdf,0.7," Sugarcane : About 57.58 lakh ha area coverage (106% of Normal area) has been reported compared to 56.72 lakh ha during the corresponding period of last year.
-
Cotton : About 79.54 lakh ha area coverage has been reported compared to 93.95 lakh ha during the corresponding period of last year.
-
Jute : About 6.28 lakh ha area coverage has been reported compared to 6.16 lakh ha during the corresponding period of last year. Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 10.07.2026 Area: In lakh hactare --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- S. No. Normal Area (2020-21 to 2024- 25) Final Area Coverage 2025 Area covered as on date Area covered as on date Increase(+)/ Decrease(-) over 2025 S. No. Normal Area (2020-21 to 2024- 25) Final Area Coverage 2025 2026 2025 Increase(+)/ Decrease(-) over 2025 1 Rice 412.00 446.70 114.69 125.53 10.84 2 Pulses 123.64 118.97 56.63 73.85 17.22 a Arhar 44.32 44.60 19.54 28.03 8.49 b Urdbean 29.60 21.26 9.34 13.29 3.95 c Moongbean 35.48 37.45 21.52 24.08 2.56 d Kulthi 1.48 0.14 0.13 0.01 e Mothbean 9.69 4.40 6.12 1.72 f Other pulses* 3.07 15.66 1.69 2.20 0.52 3 Shri Anna cum Coarse cereals 182.63 192.12 98.69 127.30 28.61 a Jowar 14.44 12.10 6.88 9.01 2.13 b Bajra** 70.94 63.80 33.76 45.98 12.22 c Ragi 12.01 13.46 0.93 1.11 0.18 d Small millets 4.47 4.15 1.16 1.64 0.48 e Maize 80.77 98.61 55.97 69.56 13.59 4 Oilseeds 200.08 196.38 117.83 149.18 31.34 a Groundnut 46.79 50.29 23.40 35.45 12.05 b Soybean 128.71 123.86 90.51 107.72 17.21 c Sunflower 1.20 0.88 0.86 0.53 0.33 d Sesamum** 12.88 9.63 2.79 5.17 2.38 e Niger 1.01 0.83 0.06 0.01 0.05 f Castor 9.49 10.89 0.14 0.24 0.10 g Other Oilseeds 0.00 0.07 0.05 0.03 5 Sugarcane 54.20 58.84 57.58 56.72 0.86 6 Jute & Mesta 6.40 6.06 6.28 6.16 0.12 7 Cotton 125.51 115.20 79.54 93.95 14.41 Total Total 1104.46 1134.27 531.25 632.69 101.44",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 13.07.2026_p1_c2,VERIFIED
1093,Cotton,Odisha,State-wide,2026-07-13,7,Sowing,None,None,,,1,Minutes of the meeting of CWWG as on 13.07.2026.pdf,0.9,Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) Sowing progress of Cotton area coverage as on 10.07.2026 Area (in lakh ha) ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ 1 Andhra Pradesh 5.38 4.99 2.401 1.625 0.78 2 Telangana 19.70 21.04 15.962 13.997 1.96 3 Gujarat 24.19 21.00 9.319 17.106 7.79 4 Haryana 5.85 4.00 3.107 4.010 0.90 5 Karnataka 7.73 8.00 6.080 6.670 0.59 6 Madhya Pradesh 5.82 5.68 5.406 5.460 0.05 7 Maharashtra 42.99 38.75 30.072 35.464 5.39 8 Odisha 2.07 2.43 0.943 1.601 0.66 9 Punjab 2.25 1.25 0.851 1.279 0.43 10 Rajasthan 8.02 7.20 5.153 6.437 1.28 11 Tamil Nadu 1.33 1.47 0.040 0.040 0.00 12 Others 0.18 0.31 0.210 0.260 0.05 All India All India 125.51 116.12 79.545 93.950 14.41,rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 13.07.2026_p1_c3,VERIFIED
1094,Jute,Odisha,State-wide,2026-07-13,7,Active Growth,None,None,,,1,Minutes of the meeting of CWWG as on 13.07.2026.pdf,0.7," The overall intensity of pests and diseases remained below the Economic Threshold Level except: फसल CROP राज्य STATE जिला / उपजिला / गाांव DISTRICT/ SUB DISTRICT/ VILLAGE स्रोत / SOUR CE कीट / रो ग PEST DISEA SE राज्य में फसल क े अांतगगत क ु ल क्षेत्रफल ( हेक्टेयर ) TOTAL AREA UNDER THE CROP IN THE STATE (HA) तीव्रता INTENSITY सांक्रजमत / प्रभा जवतक्षेत्र *ETL ( हेक्टेयर ) सेऊपर /AREA INFESTED/I NFECTED ABOVE *ETL (HA) की गई कारगवाई / जटप्पणी ACTION TAKEN/ REMARK ------------- --------------- --------------------------------------------------------- --------------------- ---------------------------- ------------------------------------------------------------------------------------------------------ ------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- RCIPMC Jute Guwahati Morigaon/ Mikirbheta/ Kashadhara Sat Gaon Rapid Roving Survey Semiloo per 52 Pest incidence was reported on 03.07.2026
RCIPMC Guwahati conducted Joints survey State Agriculture Department
Survey team issued advisory through NPSS, and Advisory issued to the State Agriculture Department for circulation amongst the Farmers & field functionaries. Farmers were suggested to follow necessary IPM management practices.
Regular monitoring is being carried out by all field functionaries as follow up action.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 13.07.2026_p1_c4,VERIFIED
930,Sugarcane,All India,State-wide,2026-07-06,7,Sowing,None,None,,,1,Minutes of the meeting of CWWG as on 06.07.2026.pdf,0.9," Kharif sowing data collection has started from 05 th June, 2026 and the sowing is in preliminary stage. As on 05 July 2026, the area sown under Kharif crops is 350.85 lakh ha (including 57.58 lakh ha in Sugarcane) as compared to 442.80 lakh ha during the corresponding period of last year.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 06.07.2026_p1_c1,VERIFIED
931,Crop,Punjab,State-wide,2026-07-06,7,Active Growth,"No  Warm  Night  Conditions  Are  Likely  Over  Any  Part  Of  The  Country  During  The  Week.  However, Minimum Temperatures Are Likely To Be Near Normal (+1.6 To +3.0°C) Over Parts Of Northwest India (Punjab, Haryana, Rajasthan, &Amp; Uttar Pradesh), And Near Normal (-1.5 To +1.5°C) For The Country",None,,,1,Minutes of the meeting of CWWG as on 06.07.2026.pdf,0.9,"No Warm Night conditions are likely over any part of the country during the week. However, minimum temperatures are likely to be near normal (+1.6 to +3.0°C) over parts of northwest India (Punjab, Haryana, Rajasthan, &amp; Uttar Pradesh), and near Normal (-1.5 to +1.5°C) for the country.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 06.07.2026_p1_c2,VERIFIED
932,Jute,Punjab,State-wide,2026-07-06,7,Active Growth,None,None,,,1,Minutes of the meeting of CWWG as on 06.07.2026.pdf,0.7," Sugarcane : About 57.58 lakh ha area coverage (106% of Normal area) has been reported compared to 56.72 lakh ha during the corresponding period of last year.
-
Cotton : About 63.18 lakh ha area coverage has been reported compared to 82.00 lakh ha during the corresponding period of last year.
-
Jute : About 6.28 lakh ha area coverage has been reported compared to 6.16 lakh ha during the corresponding period of last year. Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare Progress of area coverage under Kharif crops as on 05.07.2026 Area: In lakh hactare --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------- S. No. Crop Normal Area (2020-21 to 2024- 25) Final Area Coverage 2025 Area covered as on date Area covered as on date Increase(+)/ Decrease(-) over 2025 S. No. Crop Normal Area (2020-21 to 2024- 25) Final Area Coverage 2025 2026 2025 Increase(+)/ Decrease(-) over 2025 1 Rice 412.00 446.70 60.24 69.30 9.06 2 Pulses 123.64 118.97 37.15 47.49 10.34 a Arhar 44.32 44.60 12.35 21.00 8.65 b Urdbean 29.60 21.26 3.01 4.63 1.62 c Moongbean 35.48 37.45 16.81 17.20 0.39 d Kulthi 1.48 e Mothbean 9.69 3.45 3.00 0.45 f Other pulses* 3.07 15.66 1.40 1.56 0.16 3 Shri Anna cum Coarse cereals 182.63 192.12 60.12 71.86 11.75 a Jowar 14.44 12.10 4.53 4.89 0.36 b Bajra** 70.94 63.80 20.82 30.00 9.18 c Ragi 12.01 13.46 0.84 0.88 0.04 d Small millets 4.47 4.15 0.98 1.09 0.11 e Maize 80.77 98.61 32.94 35.00 2.06 4 Oilseeds 200.08 196.38 66.31 109.27 42.96 a Groundnut 46.79 50.29 16.93 28.00 11.07 b Soybean 128.71 123.86 47.80 79.20 31.40 c Sunflower 1.20 0.88 0.79 0.46 0.33 d Sesamum** 12.88 9.63 0.60 1.49 0.89 e Niger 1.01 0.83 0.06 0.01 0.05 f Castor 9.49 10.89 0.09 0.07 0.02 g Other Oilseeds 0.00 0.06 0.04 0.02 5 Sugarcane 54.20 57.58 56.72 0.85 58.84 6 Jute & Mesta 6.40 6.06 6.28 6.16 0.12 Total Total 1104.46 1134.27 350.85 442.80 91.95",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 06.07.2026_p1_c3,VERIFIED
933,Cotton,Odisha,State-wide,2026-07-06,7,Sowing,None,None,,,1,Minutes of the meeting of CWWG as on 06.07.2026.pdf,0.9,Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) Sowing progress of cotton area coverage as on 05.07.2026 Area (in lakh ha) ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ ------------------------------------------------------------------------------ 1 Andhra Pradesh 5.38 4.99 1.86 0.72 0.03 2 Telangana 19.70 21.04 12.27 12.28 0.00 3 Gujarat 24.19 21.00 9.32 17.11 0.55 4 Haryana 5.85 4.00 3.11 3.92 0.05 5 Karnataka 7.73 8.00 5.46 6.12 0.03 6 Madhya Pradesh 5.82 5.68 4.19 4.26 0.00 7 Maharashtra 42.99 38.75 20.61 32.93 0.12 8 Odisha 2.07 2.43 0.38 1.22 0.84 9 Punjab 2.25 1.25 0.79 1.19 0.00 10 Rajasthan 8.02 7.20 4.94 6.02 0.09 11 Tamil Nadu 1.33 1.47 0.04 0.04 0.00 12 Others 0.18 0.31 0.21 0.26 0.05 All India All India 125.51 116.12 63.18 82.00 22.88,rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 06.07.2026_p1_c4,VERIFIED
1375,Sugarcane,All India,State-wide,2026-06-29,6,Sowing,None,None,,,1,Minutes of the meeting of CWWG as on 29.06.2026.pdf,0.9," Kharif sowing data collection has started from 05 th June, 2026 and the sowing is in preliminary stage. As on 25 June 2026, the area sown under Kharif crops is 182.72 lakh ha (including 57.31 lakh ha in Sugarcane) as compared to 236.46 lakh ha during the corresponding period of last year.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 29.06.2026_p1_c1,VERIFIED
1376,Crop,Punjab,State-wide,2026-06-29,6,Active Growth,"No  Warm  Night  Conditions  Are  Likely  Over  Any  Part  Of  The  Country  During  The  Week.  However, Minimum Temperatures Are Likely To Be Above Normal (+1.6 To +3.0°C) Over Parts Of Northwest India (Punjab, Haryana, Rajasthan, &Amp; Uttar Pradesh), And Near Normal (-1.5 To +1.5°C) Across The Rest Of The Country",None,,,1,Minutes of the meeting of CWWG as on 29.06.2026.pdf,0.9,"No Warm Night conditions are likely over any part of the country during the week. However, minimum temperatures are likely to be above normal (+1.6 to +3.0°C) over parts of northwest India (Punjab, Haryana, Rajasthan, &amp; Uttar Pradesh), and near Normal (-1.5 to +1.5°C) across the rest of the country.",rule_based,2.1,1.0,Minutes of the meeting of CWWG as on 29.06.2026_p1_c2,VERIFIED
