synonym,standard_name
paddy,Rice
rice,Rice
wheat,Wheat
maize,Maize
corn,Maize
sugarcane,Sugarcane
cotton,Cotton
jute,Jute
mesta,Jute
soyabean,Soybean
soybean,Soybean
groundnut,Groundnut
peanut,Groundnut
mustard,Mustard
rapeseed,Mustard
arhar,Pigeonpea (Arhar)
tur,Pigeonpea (Arhar)
pigeonpea,Pigeonpea (Arhar)
urad,Black Gram (Urad)
uradbean,Black Gram (Urad)
black gram,Black Gram (Urad)
moong,Green Gram (Moong)
moongbean,Green Gram (Moong)
green gram,Green Gram (Moong)
gram,Bengal Gram (Gram/Chickpea)
chickpea,Bengal Gram (Gram/Chickpea)
bengal gram,Bengal Gram (Gram/Chickpea)
masur,Lentil (Masur)
lentil,Lentil (Masur)
bajra,Pearl Millet (Bajra)
pearl millet,Pearl Millet (Bajra)
jowar,Sorghum (Jowar)
sorghum,Sorghum (Jowar)
ragi,Finger Millet (Ragi)
finger millet,Finger Millet (Ragi)
sesamum,Sesame (Sesamum)
sesame,Sesame (Sesamum)
sunflower,Sunflower
castor,Castor
shri anna,Coarse Cereals
coarse cereals,Coarse Cereals
pulses,Pulses
oilseeds,Oilseeds
