synonym,standard_name
downy mildew,Downy mildew
powdery mildew,Powdery mildew
blast,Blast
rice blast,Blast
neck blast,Blast
sheath blight,Sheath blight
bacterial leaf blight,Bacterial leaf blight
bacterial blight,Bacterial leaf blight
blb,Bacterial leaf blight
rust,Rust
yellow rust,Yellow rust
stripe rust,Stripe rust
tikka,Tikka disease
mosaic virus,Yellow mosaic virus
ymv,Yellow mosaic virus
yellow mosaic virus,Yellow mosaic virus
yellow vein mosaic,Yellow mosaic virus
wilt,Wilt
red rot,Red rot
false smut,False smut
crown rot,Crown rot
stem rot,Stem rot
sheath rot,Sheath rot
collar rot,Collar rot
leaf spot,Leaf spot
damping off,Damping off
leaf curl,Leaf curl
charcoal rot,Charcoal rot

