synonym,standard_name
stem borer,Stem borer
brown plant hopper,Brown plant hopper
bph,Brown plant hopper
leaf folder,Leaf folder
aphid,Aphids
aphids,Aphids
whitefly,Whitefly
bollworm,Bollworm
pink bollworm,Pink bollworm
spotted bollworm,Spotted bollworm
fall armyworm,Fall armyworm
armyworm,Armyworm
pod borer,Pod borer
shoot borer,Shoot borer
termites,Termites
locust,Locusts
locusts,Locusts
thrips,Thrips
mites,Mites
gall midge,Gall midge
cutworm,Cutworm
mealybug,Mealybug
gundhi bug,Gundhi bug
case worm,Case worm
stem fly,Stem fly
flea beetle,Flea beetle
white grub,White grub
semilooper,Semilooper
leafhopper,Leafhopper

