synonym,standard_name,is_ut
orissa,Odisha,0
odisha,Odisha,0
karnataka,Karnataka,0
maharashtra,Maharashtra,0
andhra pradesh,Andhra Pradesh,0
ap,Andhra Pradesh,0
tamil nadu,Tamil Nadu,0
tn,Tamil Nadu,0
kerala,Kerala,0
gujarat,Gujarat,0
punjab,Punjab,0
haryana,Haryana,0
rajasthan,Rajasthan,0
west bengal,West Bengal,0
wb,West Bengal,0
bihar,Bihar,0
uttar pradesh,Uttar Pradesh,0
up,Uttar Pradesh,0
madhya pradesh,Madhya Pradesh,0
mp,Madhya Pradesh,0
chhattisgarh,Chhattisgarh,0
jharkhand,Jharkhand,0
himachal pradesh,Himachal Pradesh,0
hp,Himachal Pradesh,0
uttarakhand,Uttarakhand,0
assam,Assam,0
telangana,Telangana,0
tripura,Tripura,0
sikkim,Sikkim,0
goa,Goa,0
manipur,Manipur,0
meghalaya,Meghalaya,0
mizoram,Mizoram,0
nagaland,Nagaland,0
arunachal pradesh,Arunachal Pradesh,0
jammu & kashmir,Jammu & Kashmir,1
j&k,Jammu & Kashmir,1
jammu and kashmir,Jammu & Kashmir,1
ladakh,Ladakh,1
puducherry,Puducherry,1
delhi,Delhi (NCT),1
chandigarh,Chandigarh,1
andaman & nicobar,Andaman & Nicobar Islands,1
all india,All India,0
india,All India,0
