Sl. No.,Title,Publish Date,Details,PDF Link
1,Minutes of the meeting of CWWG as on 22.06.2026,22-06-2026,Download (1.86MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Minutes_22062026.pdf
2,Minutes of the meeting of CWWG as on 15.06.2026,15-06-2026,Download (1.84MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_15062026.pdf
3,Minutes of the meeting of CWWG as on 08.06.2026,08-06-2026,Download (1.20MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_ason_0806.2026.pdf
4,Minutes of the meeting of CWWG as on 01.06.2026,01-06-2026,Download (1.65MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWGWeeklyreport_01062026.pdf
5,Minutes of the meeting of CWWG as on 25.05.2026,25-05-2026,Download (1.81MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_ason_25052026.pdf
6,Minutes of the meeting of CWWG as on 18.05.2026,20-05-2026,Download (2.05MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_report_as_on_18_05_2026_(Minutes_of_the_meeting)_(1)_0.pdf
7,Minutes of the meeting of CWWG as on 11.05.2026,11-05-2026,Download (1.73MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_11052026.pdf
8,Minutes of the meeting of CWWG as on 04.05.2026,04-05-2026,Download (1.53MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_04052026.pdf
9,Minutes of the meeting of CWWG as on 27.04.2026,27-04-2026,Download (1.46MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_27042026.pdf
10,Minutes of the meeting of CWWG as on 20.04.2026,20-04-2026,Download (1.26MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_ason_20042026.pdf
11,Minutes of the meeting of CWWG as on 13.04.2026,13-04-2026,Download (1.20MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_13042026.pdf
12,Minutes of the meeting of CWWG as on 06.04.2026,06-04-2026,Download (1.16MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weeklyreport_06042026.pdf
13,Minutes of the meeting of CWWG as on 30.03.2026,30-03-2026,Download (1.18MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_weeklyreport_30032026.pdf
14,Minutes of the meeting of CWWG as on 23.03.2026,23-03-2026,Download (2.35MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWGWeeklyReport_23032026.pdf
15,Minutes of the meeting of CWWG as on 16.03.2026,16-03-2026,Download (1.55MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_16032026.pdf
16,Minutes of the meeting of CWWG as on 09.03.2026,09-03-2026,Download (2.42MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_09032026.pdf
17,Minutes of the meeting of CWWG as on 02.03.2026,02-03-2026,Download (2.7MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_02032026_0.pdf
18,Minutes of the meeting of CWWG as on 23.02.2026,23-02-2026,Download (1.99MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_23022026_0.pdf
19,Minutes of the meeting of CWWG as on 16.02.2026,16-02-2026,Download (2.37MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_16022026_0.pdf
20,Minutes of the meeting of CWWG as on 09.02.2026,09-02-2026,Download (2.23MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_09022026_2.pdf
21,Minutes of the meeting of CWWG as on 02.02.2026,02-02-2026,Download (2.45MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_02022026_0.pdf
22,Minutes of the meeting of CWWG as on 27.01.2026,27-01-2026,Download (2.51MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_27012026_2.pdf
23,Minutes of the meeting of CWWG as on 12.01.2026,12-01-2026,Download (5.09MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_12012026_2.pdf
24,Minutes of the meeting of CWWG as on 05.01.2026,05-01-2026,Download (2.6MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_05012026_pdf_0.pdf
25,Minutes of the meeting of CWWG as on 29.12.2025,29-12-2025,Download (2.39MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_29122025_0.pdf
26,Minutes of the meeting of CWWG as on 22.12.2025,22-12-2025,Download (2.37MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_22122025_2.pdf
27,Minutes of the meeting of CWWG as on 15.12.2025,15-12-2025,Download (2.22MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_15122025_22.pdf
28,Minutes of the meeting of CWWG as on 08.12.2025,08-12-2025,Download (2.21MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_08122025_2.pdf
29,Minutes of the meeting of CWWG as on 01.12.2025,01-12-2025,Download (2.17MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_01122025.pdf
30,Minutes of the meeting of CWWG as on 24.11.2025,24-11-2025,Download (2.66MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_24112025.pdf
31,Minutes of the meeting of CWWG as on 17.11.2025,17-11-2025,Download (2.66MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_17112025.pdf
32,Minutes of the meeting of CWWG as on 10.11.2025,10-11-2025,Download (1.39MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWGWeeklyReport_10112025.pdf
33,Minutes of the meeting of CWWG as on 03.11.2025,03-11-2025,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWGWeeklyReport_03112025.pdf
34,Minutes of the meeting of CWWG as on 27.10.2025,27-10-2025,Download (1.91MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_27102025.pdf
35,Minutes of the meeting of CWWG as on 13.10.2025,13-10-2025,Download (1.14MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_13102025_2.pdf
36,Minutes of the meeting of CWWG as on 06.10.2025 .,06-10-2025,Download (1.25MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_06102025_0.pdf
37,Minutes of the meeting of CWWG as on 29.09.2025,29-09-2025,Download (1.17MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_29092025_0.pdf
38,Minutes of the meeting of CWWG as on 22.09.2025,22-09-2025,Download (1.25MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_22092025_0.pdf
39,Minutes of the meeting of CWWG as on 15.09.2025,15-09-2025,Download (1.29MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_15092025_0.pdf
40,Minutes of the meeting of CWWG as on 08.09.2025,08-09-2025,Download (1.3MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_08092025_0.pdf
41,Minutes of the meeting of CWWG as on 01.09.2025,01-09-2025,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_01092025_0.pdf
42,Minutes of the meeting of CWWG as on 25.08.2025,25-08-2025,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_25082025_0.pdf
43,Minutes of the meeting of CWWG as on 18.08.2025,18-08-2025,Download (1.17MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_18082025_revised_0.pdf
44,Minutes of the meeting of CWWG as on 11.08.2025,11-08-2025,Download (1.77MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_11082025_FINAL_2.pdf
45,Minutes of the meeting of CWWG as on 04.08.2025,04-08-2025,Download (1.22MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_04082025_0.pdf
46,Minutes of the meeting of CWWG as on 28.07.2025,28-07-2025,Download (3.06MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_28072025_REVISED_2.pdf
47,Minutes of the meeting of CWWG as on 21.07.2025,21-07-2025,Download (1.29MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_21072025_0.pdf
48,Minutes of the meeting of CWWG as on 14.07.2025,14-07-2025,Download (1019.98KB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_14072025_2.pdf
49,Minutes of the meeting of CWWG as on 07.07.2025,07-07-2025,Download (1.45MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_Weekly_Report_as_on_07072025_20.pdf
50,Minutes of the meeting of CWWG as on 30.06.2025,30-06-2025,Download (1.34MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_30062025.pdf
51,Minutes of the meeting of CWWG as on 23.06.2025,23-06-2025,Download (1.52MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_23062025.pdf
52,Minutes of the meeting of CWWG as on 16.06.2025,16-06-2025,Download (1.33MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_16062025.pdf
53,Minutes of the meeting of CWWG as on 09.06.2025,09-06-2025,Download (1.67MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_09062025.pdf
54,Minutes of the meeting of CWWG as on 02.06.2025,02-06-2025,Download (1.56MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_02062025.pdf
55,Minutes of the meeting of CWWG as on 26.05.2025,26-05-2025,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_26052025.pdf
56,Minutes of the meeting of CWWG as on 19.05.2025,19-05-2025,Download (1.19MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_19052025_revised.pdf
57,Minutes of the meeting of CWWG as on 13.05.2025,13-05-2025,Download (1.92MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_13052025.pdf
58,Minutes of the meeting of CWWG as on 06.05.2025,06-05-2025,Download (1.00MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_06052025.pdf
59,Minutes of the meeting of CWWG as on 28.04.2025,28-04-2025,Download (1.05MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_28042025.pdf
60,Minutes of the meeting of CWWG as on 21.04.2025,21-04-2025,Download (2.02MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_21042025.pdf
61,Minutes of the meeting of CWWG as on 15.04.2025,15-04-2025,Download (2.07MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_15042025.pdf
62,Minutes of the meeting of CWWG as on 07.04.2025,07-04-2025,Download (1.95MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_07042025.pdf
63,Minutes of the meeting of CWWG as on 01.04.2025,01-04-2025,Download (1.85MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_01042025.pdf
64,Minutes of the meeting of CWWG as on 24.03.2025,24-03-2025,Download (1.87MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport24032025.pdf
65,Minutes of the meeting of CWWG as on 17.03.2025,17-03-2025,Download (1.43MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_17032025.pdf
66,Minutes of the meeting of CWWG as on 10.03.2025,10-03-2025,Download (1.89MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_10032025.pdf
67,Minutes of the meeting of CWWG as on 03.03.2025,03-03-2025,Download (1.76MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_03032025.pdf
68,Minutes of the meeting of CWWG as on 24.02.2025,24-02-2025,Download (1.81MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_24022025.pdf
69,Minutes of the meeting of CWWG as on 17.02.2025,17-02-2025,Download (2.06MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_17022025.pdf
70,Minutes of the meeting of CWWG as on 10.02.2025,18-02-2025,Download (1.98MB),https://agriwelfare.gov.in/Documents/CWWGDATA/CWWG_WeeklyReport_10022025_revised.pdf
