0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Commodities,,,All India Weekly Average Mandi Prices (In Rs./Quintal),,,,,,,,,% Variation Over,,,,Arrival,
,,,,,,,,,,,,,,,,(In,
,,,,,,,,,,,,,,,,Metric,
,,,,,,,,,,,,,,,,Tonnes),
,,,"Current
MSP",,,"Prices
as on
29.05.26",,One,,"1 Month
Ago
29.04.26","1 Year
Ago
29.05.25","Last
Week","Last
Month","1 Year
Ago","Arrivals
as on
29.05.26",,
,,,,,,,,Week,,,,,,,,,
,,,,,,,,Ago,,,,,,,,,
,,,,,,,,22.05.26,,,,,,,,,
Cereals,,,,,,,,,,,,,,,,,
,Paddy(Common),,,2369,,2088,2229,,,2252,2138,-6.29,-7.25,-2.30,59904,,
Wheat,,,2585,,,2442,2456,,,2515,2500,-0.57,-2.91,-2.31,138826,,
Maize,,,2400,,,1900,1901,,,1770,2057,-0.03,7.35,-7.62,45616,,
Pulses,,,,,,,,,,,,,,,,,
Arhar whole,,,8000,,,7491,7693,,,7261,6519,-2.62,3.17,14.92,5769,,
Gram whole,,,5875,,,5715,5655,,,5271,5560,1.05,8.43,2.79,16273,,
Masur Whole,,,7000,,,6604,7030,,,7110,6443,-6.07,-7.11,2.50,1474,,
Moong Whole,,,8768,,,7006,7502,,,7859,7049,-6.61,-10.86,-0.61,6557,,
Urad Whole,,,7800,,,7542,7689,,,5945,7167,-1.90,26.86,5.24,3783,,
Millets,,,,,,,,,,,,,,,,,
Jowar,,,3699,,,3603,3823,,,3321,2981,-5.76,8.49,20.84,2786,,
Bajra,,,2775,,,2288,2313,,,2056,2396,-1.05,11.30,-4.49,3988,,
Ragi,,,4886,,,3406,3489,,,3457,3368,-2.40,-1.49,1.10,315,,
Oil Seeds,,,,,,,,,,,,,,,,,
,Groundnut,,,7263,,6961,7255,,,6414,5086,-4.05,8.53,36.85,4785,,
Mustard,,,6200,,,7275,7093,,,6381,6168,2.56,14.00,17.95,10048,,
Soyabean,,,5328,,,7122,7128,,,5924,4181,-0.08,20.23,70.34,17398,,
Sesamum,,,9846,,,11283,11321,,,12620,9870,-0.33,-10.59,14.32,3288,,
Sunflower,,,7721,,,7678,7348,,,6498,5121,4.50,18.16,49.94,1095,,
Horticulture,,,,,,,,,,,,,,,,,
,Onion,,,,,1162,1042,,,1099,1158,11.53,5.76,0.34,52142,,
Potato,,,,,,737,729,,,657,1192,1.05,12.05,-38.20,37209,,
Tomato,,,,,,1915,2143,,,2045,1072,-10.64,-6.37,78.64,13968,,
,Source: Agmarknet,,,,,,,,,,,,,,,,
