0,1,2,3,4,5,6,7,8
Commodities,All India Weekly Average Retail Prices (In Rs./Kg),,,,,% Variation Over,,
,,"Prices as
on 29.05.26","One Week
Ago
22.05.26","1 Month
Ago
29.04.26","1 Year Ago
29.05.25","Last
Week","Last
Month","1 Year
Ago"
Cereals,,,,,,,,
Rice,,43.23,43.17,42.93,42.67,0.14,0.70,1.31
Wheat,,31.05,30.93,30.97,31.46,0.39,0.26,-1.30
Pulses,,,,,,,,
Arhar/Tur Dal,,122.47,122.48,122.39,124.54,-0.01,0.07,-1.66
Gram Dal,,85.34,85.21,84.89,86.52,0.15,0.53,-1.36
Masur Dal,,90.04,90.00,89.50,88.12,0.04,0.60,2.18
Moong Dal,,111.44,111.55,111.51,111.83,-0.10,-0.06,-0.35
Urad Dal,,118.38,118.20,117.80,116.73,0.15,0.49,1.41
Millets,,,,,,,,
Jowar,,43.95,43.85,43.80,43.60,0.23,0.34,0.80
Bajra,,37.94,37.80,37.52,38.27,0.37,1.12,-0.86
Ragi,,54.97,54.73,54.44,53.56,0.44,0.97,2.63
Edible Oils,,,,,,,,
Mustard Oil,,190.23,189.86,189.14,170.72,0.19,0.58,11.43
Soyabean Oil,,160.79,159.92,158.45,147.46,0.54,1.48,9.04
Horticulture,,,,,,,,
Onion,,25.67,25.72,25.03,26.09,-0.19,2.56,-1.61
Potato,,21.25,21.07,20.55,24.56,0.85,3.41,-13.48
Tomato,,37.26,37.32,34.18,25.48,-0.16,9.01,46.23
Source: Department of Consumer Affairs (DOCA),,,,,,,,
