0,1,2,3,4,5,6,7,8,9,10,11
All India Mandi Wholesale Prices,,,,,,,,,,,
Commodities,,,MSP (RS/Qtl),,,Price as on 12-06-2026,,,% Variation over MSP,,
,Paddy (Rice unmilled),,,2369,,,2306,,,-2.66,
,Wheat,,,2585,,,2430,,,-6.00,
,Maize,,,2400,,,1869,,,-22.13,
,Arhar,,,8000,,,7289,,,-8.89,
,Gram whole,,,5875,,,5616,,,-4.41,
,Masur,,,7000,,,6523,,,-6.81,
,Moong,,,8768,,,6929,,,-20.97,
,Urad,,,7800,,,7537,,,-3.37,
,Bajra,,,2775,,,2206,,,-20.50,
,Ragi,,,4886,,,3620,,,-25.91,
,Sunflower,,,7721,,,7678,,,-0.56,
