0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Final Summer Crops Area coverage as per Third Advance Estimates 2025-26,,,,,,,,,,,,,,
,,,Area in Lakh Ha,,,,,,,,,"Increase /
Decrease",,
Crop,,,Normal,,,2025-26,,,2024-25,,,,,
Rice,,,31.49,,,32.63,,,33.28,,,-0.65,,
Maize,,,6.98,,,10.58,,,8.50,,,2.08,,
Jowar,,,0.34,,,0.43,,,0.36,,,0.07,,
Bajra,,,4.43,,,5.83,,,5.20,,,0.63,,
Shree Anna /Nutri Cereals,,,4.77,,,6.26,,,5.56,,,0.70,,
Nutri/Coarse Cereals,,,11.75,,,16.84,,,14.05,,,2.79,,
Cereals,,,43.23,,,49.48,,,47.33,,,2.15,,
Urad,,,2.96,,,4.34,,,3.58,,,0.76,,
Moong,,,20.44,,,22.82,,,23.49,,,-0.67,,
Total Pulses,,,23.40,,,27.16,,,27.07,,,0.09,,
Total Food Grains,,,66.64,,,76.64,,,74.40,,,2.24,,
Groundnut,,,3.40,,,5.23,,,4.20,,,1.03,,
Sesamum,,,4.66,,,5.04,,,4.96,,,0.08,,
Sunflower,,,0.34,,,0.35,,,0.35,,,0.00,,
Total Oil Seeds,,,8.40,,,10.62,,,9.51,,,1.11,,
,Total,,,75.04,,,87.26,,,83.91,,,3.35,
