0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Commodities,,,,All India Weekly Average Retail Prices (In,,,,,,,,,,,,% Variation Over,,,,,,,,
,,,,Rs./Kg),,,,,,,,,,,,,,,,,,,,
,,,,,,"Prices
as on
12.06.26",,One,,"1 Month
Ago
12.05.26",,,"1 Year
Ago
12.06.25",,,"Last
Week",,,"Last
Month",,,"1 Year
Ago",,
,,,,,,,,Week,,,,,,,,,,,,,,,,
,,,,,,,,Ago,,,,,,,,,,,,,,,,
,,,,,,,,05.06.26,,,,,,,,,,,,,,,,
,Cereals,,,,,,,,,,,,,,,,,,,,,,,
,Rice,,,,,43.59,,43.24,,,43.15,,,42.64,,,0.81,,,1.02,,,2.23,
,Wheat,,,,,30.80,,30.72,,,30.85,,,31.23,,,0.26,,,-0.16,,,-1.38,
,Pulses,,,,,,,,,,,,,,,,,,,,,,,
,Arhar/Tur Dal,,,,,122.89,,122.49,,,122.45,,,123.63,,,0.33,,,0.36,,,-0.60,
,Gram Dal,,,,,85.50,,85.18,,,85.10,,,86.46,,,0.38,,,0.47,,,-1.11,
,Masur Dal,,,,,90.02,,89.87,,,89.78,,,88.21,,,0.17,,,0.27,,,2.05,
,Moong Dal,,,,,111.62,,111.43,,,111.36,,,111.34,,,0.17,,,0.23,,,0.25,
,Urad Dal,,,,,118.66,,118.25,,,118.03,,,116.14,,,0.35,,,0.53,,,2.17,
Millets,,,,,,,,,,,,,,,,,,,,,,,,
,Jowar,,,,,44.38,,44.40,,,43.96,,,42.91,,,-0.05,,,0.96,,,3.43,
,Bajra,,,,,38.08,,37.93,,,37.77,,,37.50,,,0.40,,,0.82,,,1.55,
,Ragi,,,,,55.07,,54.56,,,54.86,,,53.34,,,0.93,,,0.38,,,3.24,
,Edible Oils,,,,,,,,,,,,,,,,,,,,,,,
,Mustard Oil,,,,,191.84,,190.69,,,189.01,,,171.61,,,0.60,,,1.50,,,11.79,
,Soyabean Oil,,,,,161.79,,161.45,,,159.30,,,146.41,,,0.21,,,1.56,,,10.50,
,Horticulture,,,,,,,,,,,,,,,,,,,,,,,
,Onion,,,,,26.96,,26.27,,,25.36,,,26.64,,,2.63,,,6.31,,,1.20,
,Potato,,,,,21.64,,21.25,,,20.86,,,25.16,,,1.84,,,3.74,,,-13.99,
,Tomato,,,,,42.43,,37.31,,,34.85,,,31.35,,,13.72,,,21.75,,,35.34,
