0,1,2,3,4,5,6,7,8,9,10
All India Weekly Average Mandi Prices,,,,,,,,,,
,Increasing Trend,,,,,,Decreasing Trend,,,
Commodities,Commodities,,,% Variation over,,Commodities,,,% Variation over last,
,,,,last Week,,,,,Week,
,Groundnut,,"9.59
0.81
11.27
14.75
5.80
1.41
49.56",9.59,,,"Paddy (Rice un-milled)
Wheat
Tur (Arhar)
Gram
Masur
Moong
Urad
Soybean","-4.61
-0.16
-3.08
-0.65
-1.53
-9.51
-3.11
-0.50",-4.61,
,Mustard,,,0.81,,,,,-0.16,
,Sesamum,,,11.27,,,,,-3.08,
,Sunflower,,,14.75,,,,,-0.65,
,Onion,,,5.80,,,,,-1.53,
,Potato,,,1.41,,,,,-9.51,
,Tomato,,,49.56,,,,,-3.11,
,,,,,,,,,-0.50,
