0,1,2,3,4,5,6,7,8,9
"S.
NO.",STATES,PERIOD :,,,01.06.2025,TO 24.08.2025,,,
,,LE,E,N,D,LD,NR,ND,TOTAL
1,A & N ISLAND (UT),0,1,2,0,0,0,0,3
2.,ARUNACHAL PRADESH,0,0,6,6,3,0,1,16
3.,ASSAM,0,1,7,26,1,0,0,35
4.,MEGHALAYA,1,0,2,6,2,0,0,11
5.,NAGALAND,0,0,5,1,0,0,5,11
6.,MANIPUR,0,1,5,3,0,0,0,9
7.,MIZORAM,0,0,5,1,0,0,2,8
8.,TRIPURA,0,2,5,1,0,0,0,8
9.,SIKKIM,0,1,3,2,0,0,0,6
10.,WEST BENGAL,1,6,11,5,0,0,0,23
11.,ODISHA,0,5,19,6,0,0,0,30
12.,JHARKHAND,4,11,9,0,0,0,0,24
13.,BIHAR,0,1,14,23,0,0,0,38
14.,UTTAR PRADESH,4,16,27,24,4,0,0,75
15.,UTTARAKHAND,2,4,5,2,0,0,0,13
16.,HARYANA,2,7,9,4,0,0,0,22
17.,CHANDIGARH (UT),0,0,1,0,0,0,0,1
18.,DELHI,0,5,3,0,0,0,2,10
19.,PUNJAB,1,6,5,9,1,0,0,22
20.,HIMACHAL PRADESH,2,6,3,0,1,0,0,12
21.,JAMMU & KASHMIR(UT),1,3,11,3,2,0,0,20
22.,LADAKH(UT),1,0,0,1,0,0,0,2
23.,RAJASTHAN,16,9,8,0,0,0,0,33
24.,MADHYA PRADESH,10,15,24,3,0,0,0,52
25.,GUJARAT,2,6,23,2,0,0,0,33
26.,"DADRA & NAGAR HAVELI
AND DAMAN & DIU (UT)",0,0,3,0,0,0,0,3
27.,GOA,0,0,2,0,0,0,0,2
28.,MAHARASHTRA,0,5,29,2,0,0,0,36
29.,CHHATISGARH,1,2,27,3,0,0,0,33
30.,ANDHRA PRADESH,0,5,20,1,0,0,0,26
31.,TELANGANA,4,8,19,2,0,0,0,33
32.,TAMILNADU,2,9,15,11,1,0,0,38
33.,PUDUCHERRY (UT),0,2,2,0,0,0,0,4
34.,KARNATAKA,8,11,9,3,0,0,0,31
35.,KERALA,0,0,10,4,0,0,0,14
36.,LAKSHADWEEP (UT),0,0,1,0,0,0,0,1
,TOTAL,62,148,349,154,15,0,10,738
"CATEGORYWISE DISTRIBUTION
OF DISTRICTS OUT OF THE
728 WHOSE DATA RECEIVED",,9%,20%,48%,21%,2%,0%,,
