0,1,2,3,4,5,6,7,8,9
"S.
NO.",STATES,"PERIO 01.06.2025 TO 03.08.2025
D :",,,,,,,
,,LE,E,N,D,LD,NR,ND,TOTAL
1,A & N ISLAND (UT),0,0,2,1,0,0,0,3
2.,"ARUNACHAL
PRADESH",0,0,2,9,4,0,1,16
3.,ASSAM,0,1,6,21,7,0,0,35
4.,MEGHALAYA,1,0,1,5,4,0,0,11
5.,NAGALAND,0,2,3,1,0,0,5,11
6.,MANIPUR,0,1,4,3,1,0,0,9
7.,MIZORAM,0,1,5,0,0,0,2,8
8.,TRIPURA,0,1,7,0,0,0,0,8
9.,SIKKIM,0,1,1,4,0,0,0,6
10.,WEST BENGAL,1,5,11,6,0,0,0,23
11.,ODISHA,0,8,17,5,0,0,0,30
12.,JHARKHAND,6,12,6,0,0,0,0,24
13.,BIHAR,0,3,9,16,10,0,0,38
14.,UTTAR PRADESH,8,16,18,26,7,0,0,75
15.,UTTARAKHAND,2,1,7,3,0,0,0,13
16.,HARYANA,8,4,6,4,0,0,0,22
17.,CHANDIGARH (UT),0,0,1,0,0,0,0,1
18.,DELHI,0,4,4,0,0,0,2,10
19.,PUNJAB,1,6,11,3,1,0,0,22
20.,HIMACHAL PRADESH,2,4,5,0,1,0,0,12
21.,"JAMMU &
KASHMIR(UT)",1,4,7,6,2,0,0,20
22.,LADAKH(UT),1,0,0,0,1,0,0,2
23.,RAJASTHAN,23,9,1,0,0,0,0,33
24.,MADHYA PRADESH,21,18,7,6,0,0,0,52
25.,GUJARAT,2,14,16,1,0,0,0,33
26.,"DADRA & NAGAR
HAVELI AND DAMAN
& DIU (UT)",0,0,2,1,0,0,0,3
27.,GOA,0,0,2,0,0,0,0,2
28.,MAHARASHTRA,0,3,22,11,0,0,0,36
29.,CHHATISGARH,1,8,21,3,0,0,0,33
30.,ANDHRA PRADESH,0,0,8,18,0,0,0,26
31.,TELANGANA,0,3,16,14,0,0,0,33
32.,TAMILNADU,3,4,14,12,5,0,0,38
33.,PUDUCHERRY (UT),0,1,1,1,1,0,0,4
34.,KARNATAKA,0,7,16,7,1,0,0,31
35.,KERALA,0,0,11,3,0,0,0,14
36.,LAKSHADWEEP (UT),0,0,1,0,0,0,0,1
,TOTAL,81,141,271,190,45,0,10,738
"CATEGORYWISE DISTRIBUTION
OF DISTRICTS OUT OF THE
WHOSE DATA
728
RECEIVED",,11%,20%,37%,26%,6%,0%,,
