0,1,2,3,4,5
d,Sesamum**,10.32,10.51,75.04,"100% harvested in Rajasthan, Karnataka & Gujarat.
Uttar Pradesh (92%), Madhya Pradesh (30%), etc has
been harvested."
e,Niger,1.08,1.04,11.83,"Chhattisgarh (11.83%), Odisha (10%), Madhya Pradesh
(20%), etc has been harvested"
f,Castor,9.65,8.98,1.55,"100% harvested in Karnataka. Andhra Pradesh (26%),
Telangana (10%), Tamil Nadu (20%), etc has been
harvested"
5,Sugarcane,52.51,59.07,,
6,"Jute &
Mesta",6.60,5.56,100.00,Harvesting has been completed
7,Cotton,129.50,110.03,,Harvesting given as under
Total,,1096.65,1121.45,43.25,
States,,,,Harvesting Status of Cotton,
North Zone,,,,"1st & 2nd picking has been completed in Punjab, Haryana,
Rajasthan. 90% & 3rd picking in Hrayana & Rajasthan (60%)
has been completed.",
"(Punjab, Haryana and Rajasthan)",,,,,
Central Zone,,,,"80% of 1st picking in Gujarat, 15% in Maharashtra and 30% in
Madhya Pradesh has already been completed.",
"(Gujarat, Madhya Pradesh and
Maharashtra)",,,,,
South Zone,,,,"44% of 1st picking in Andhra Pradesh, 30% in Telangana, 30%
in Karnataka and 6% in Tamil Nadu has been completed.",
"(Telangana, Andhra Pradesh, Karnataka
and Tamil Nadu)",,,,,
Odisha & Others,,,,1st picking in Odisha (4%) & Other states (90%).,
